from,to,p_value,coeficiente,signo,significativo
Pinus,Juniperus,0.9434023261358404,-0.009617993898600075,negativo,False
Pinus,Taxus,0.8792873496300317,-0.0215000031214757,negativo,False
Pinus,Betula,0.13509633654338288,-0.23223488041426038,negativo,False
Pinus,Corylus,0.3379213192435575,-0.13709429230254377,negativo,False
Pinus,Salix,0.4042377042091011,-0.11815953295402923,negativo,False
Pinus,Ulmus,0.07154441200092564,-0.23303643598895527,negativo,False
Pinus,Populus,0.7670216865857498,0.04201586705843646,positivo,False
Pinus,Acer,0.4748586370023561,-0.10039384173062657,negativo,False
Pinus,Fraxinus,0.621027863407574,0.07021118269562787,positivo,False
Pinus,Tilia,0.11836758107918136,-0.21086935221485198,negativo,False
Pinus,Juglans,0.3159791164460128,-0.14251386986122985,negativo,False
Pinus,Pistacia,0.183807381400586,-0.16667377003734735,negativo,False
Pinus,Rhamnus,0.37127358664526,-0.12573174536865886,negativo,False
Pinus,Buxus,0.8462047361602814,-0.02785713842051547,negativo,False
Pinus,Sambucus,0.7064057380465898,-0.05303953986565291,negativo,False
Pinus,Viburnum,0.19859212247816982,0.1910320076581896,positivo,False
Pinus,Tamarix,0.3250987263184135,-0.13727807113709067,negativo,False
Pinus,Thymelaeaceae,0.33058017437948295,-0.13717668453847398,negativo,False
Pinus,Ephedra distachya,0.09331820592696999,0.22567746569783695,positivo,False
Pinus,Ephedra fragilis,0.21318338432668496,0.17363529583604476,positivo,False
Pinus,Ericaceae,0.7610493409383519,0.04264321025100623,positivo,False
Pinus,Hereda helix,0.9671949784159165,-0.005824978207859398,negativo,False
Pinus,Lonicera,0.8258040609838725,-0.031227591689067666,negativo,False
Pinus,Oleaceae,0.16875804189768062,-0.19843984133061943,negativo,False
Pinus,Myrtus,0.2762434999029029,-0.15391756255014757,negativo,False
Pinus,Poaceae,0.5607714715819914,-0.0817388575559781,negativo,False
Pinus,Artemisia,0.13221547601555778,-0.16582232105317365,negativo,False
Pinus,Cichorioideae,0.024567144249710144,0.28573913935936823,positivo,False
Pinus,Asteroideae,0.3958501669897354,-0.12276893401178687,negativo,False
Pinus,Cardueae,0.2461975770721419,0.16678274400689885,positivo,False
Pinus,Rubiaceae,0.43871935167348264,-0.10442982829866168,negativo,False
Pinus,Centaurea,0.34536141017810795,0.1450185568868568,positivo,False
Pinus,Chenopodiaceae,0.2519667293246862,-0.16198154929530353,negativo,False
Pinus,Caryophyllaceae,0.6771384081114729,-0.05561083478634052,negativo,False
Pinus,Plantago,0.38385049407648564,0.12285056148095083,positivo,False
Pinus,Brassicaceae,0.48343637378690474,-0.09807668844951488,negativo,False
Pinus,Saxifragaceae,0.23756899501772488,-0.16967257368558697,negativo,False
Pinus,Fabaceae,0.4036520192887286,0.10670247880894806,positivo,False
Pinus,Genista,0.9126288398709321,-0.014663821904616528,negativo,False
Pinus,Lotus type,0.4652109855141068,-0.10117012051854996,negativo,False
