from,to,p_value,coeficiente,signo,significativo
Abies,Pinus,0.0021959368423363486,0.6023524086380322,positivo,True
Abies,Juniperus,0.2995890845148642,0.2004019804587617,positivo,False
Abies,Taxus,0.6494137334237551,-0.08862890578381045,negativo,False
Abies,Betula,0.002984828772217202,-0.5940696141206909,negativo,True
Abies,Corylus,0.03193722227136723,-0.4208224706979804,negativo,False
Abies,Alnus,0.33345018541300786,0.18796602122759518,positivo,False
Abies,Carpinus,0.0030042295670691466,0.6539733419755497,positivo,True
Abies,Salix,0.07161762445742255,-0.36142149046778166,negativo,False
Abies,Ulmus,0.5167633702788763,-0.135016770834348,negativo,False
Abies,Populus,0.4104215760078507,-0.15863100279770811,negativo,False
Abies,Acer,0.5450289301301218,-0.11426047373813059,negativo,False
Abies,Fraxinus,0.1778247001541828,-0.2531041419886309,negativo,False
Abies,Fagus,0.09249380033739489,0.3930538852252339,positivo,False
Abies,Tilia,0.076311183386873,-0.3243078891573447,negativo,False
Abies,Juglans,0.968999299041609,-0.007596780813321643,negativo,False
Abies,Pistacia,0.11974799280302208,-0.2921747438765653,negativo,False
Abies,Rhamnus,0.833701621136701,-0.04114470370804374,negativo,False
Abies,Buxus,0.7324511403073074,-0.06621340766605231,negativo,False
Abies,Sambucus,0.6655413477748483,-0.08291318838049501,negativo,False
Abies,Viburnum,0.8192419523387754,-0.04450677831166763,negativo,False
Abies,Tamarix,0.44664020201133536,-0.14697124314826943,negativo,False
Abies,Ephedra distachya,0.42766395486918374,-0.1469543870474459,negativo,False
Abies,Ephedra fragilis,0.05252131458172782,0.3999503228364251,positivo,False
Abies,Ericaceae,0.07301902165182653,0.3970454498166407,positivo,False
Abies,Hereda helix,0.6393474084934088,-0.08532183371809446,negativo,False
Abies,Ilex aquifolium,0.1523003996754133,0.26716846166379943,positivo,False
Abies,Oleaceae,0.3070628575665558,-0.19906683454449664,negativo,False
Abies,Poaceae,0.21719252939177514,0.23466065930346425,positivo,False
Abies,Artemisia,0.5309580319820965,0.11203946817255322,positivo,False
Abies,Cichorioideae,0.7017825641626096,0.07507753011692214,positivo,False
Abies,Asteroideae,0.4549667799851981,0.14291155424665272,positivo,False
Abies,Cardueae,0.3396922387824156,-0.1865517086145454,negativo,False
Abies,Rubiaceae,0.843653093515709,0.037380607326469084,positivo,False
Abies,Centaurea,0.6495737212847029,-0.07927840046460288,negativo,False
Abies,Chenopodiaceae,0.2331996525671632,0.2157825785842345,positivo,False
Abies,Caryophyllaceae,0.1592868827812847,-0.25268336023226756,negativo,False
Abies,Plantago,0.2897767887221514,-0.19859783113380974,negativo,False
Abies,Brassicaceae,0.038168986626492145,-0.41341747510564086,negativo,False
Abies,Saxifragaceae,0.0022400197220691508,-0.4870662913444181,negativo,True
Abies,Fabaceae,0.1393081621215029,0.2864394347355316,positivo,False
Abies,Genista,0.47029041815374395,-0.12857075537428964,negativo,False
Abies,Lotus type,0.3820446884973714,0.16051537429195778,positivo,False
Abies,Trifolium type,0.39413227574779697,0.17162211745701386,positivo,False
Abies,Rosaceae,0.11746851202424982,-0.3000681212437153,negativo,False
Abies,Ribes,0.22127134484353192,-0.2279881128271909,negativo,False
Abies,Boraginaceae,0.40246089646328687,0.1614440857167451,positivo,False
Abies,Sedum,0.6370202649040192,-0.09090105622947792,negativo,False
Abies,Helianthemum,0.663814446201966,-0.08020723128709106,negativo,False
Abies,Lamiaceae,0.3298366909803022,-0.18241582232688192,negativo,False
Abies,Urticaceae,0.722674256748413,-0.06464395098473476,negativo,False
Abies,Rumex,0.1806028215074567,0.23667600919942472,positivo,False
Abies,Berberidaceae,0.45833076379573157,-0.14168299096827425,negativo,False
Abies,Euphorbiaceae,0.03196083389322113,0.3963974257094778,positivo,False
Abies,Primulaceae,0.2783575247565045,-0.20818900109145805,negativo,False
Abies,Scrophulariaceae,0.5764799043094886,0.09892173266328436,positivo,False
Abies,Papaver,0.2756036561670484,-0.20477187001009275,negativo,False
Abies,Campanulaceae,0.02072580912495643,0.42734087214313354,positivo,False
Abies,Convolvulaceae,0.5095964303246296,-0.12426913317947608,negativo,False
Abies,Liliaceae,0.8213433560377618,-0.043657232029898935,negativo,False
Abies,Iridaceae,0.813216294737286,-0.0443526715988151,negativo,False
Abies,Crassulaceae,0.04899833721382527,-0.37723097603408495,negativo,False
Abies,Ranunculaceae,0.4955828189228768,-0.12794554581208953,negativo,False
Abies,Cistaceae,0.29107481564678245,-0.20561887322336678,negativo,False
Abies,Galium,0.030841404873141662,0.3974626596863557,positivo,False
Abies,Apiaceae,0.3960119037124431,-0.14906858124427236,negativo,False
Abies,Valerianaceae,0.5297764027946725,-0.12242193145034697,negativo,False
Abies,Ranunculus,0.1799944775258658,-0.23728238698536733,negativo,False
Pinus,Abies,0.304020057652146,-0.09971574952574891,negativo,False
Pinus,Juniperus,0.8624087639494414,-0.03206602074184348,negativo,False
Pinus,Taxus,0.2203833329695496,0.22325146194864745,positivo,False
Pinus,Betula,0.7646642298674361,-0.06647098732115808,negativo,False
Pinus,Corylus,0.44740364983798675,-0.11997728476228825,negativo,False
Pinus,Alnus,0.37388470698986553,-0.17158395557001174,negativo,False
Pinus,Carpinus,0.6879236437802306,0.07987721975742294,positivo,False
Pinus,Salix,0.927798385167075,-0.017075856061660413,negativo,False
Pinus,Ulmus,0.6171723531001418,0.10405194228808395,positivo,False
Pinus,Populus,0.6563170524377266,0.08210057666949767,positivo,False
Pinus,Acer,0.6764178799509264,-0.07630126212445201,negativo,False
Pinus,Fraxinus,0.046363843215634686,-0.350960750854083,negativo,False
Pinus,Fagus,0.2828350809468286,0.15545166329944227,positivo,False
Pinus,Tilia,0.6400587569006032,-0.09192143322645954,negativo,False
Pinus,Juglans,0.3518268203428334,-0.17685257664220622,negativo,False
Pinus,Pistacia,0.7398247348254487,0.0625014065189202,positivo,False
Pinus,Rhamnus,0.42830294627061727,-0.1448527224064881,negativo,False
Pinus,Buxus,0.4602256928277296,-0.1362314179402018,negativo,False
Pinus,Sambucus,0.7061702874433109,-0.07158259739866038,negativo,False
