Depth.cm,ka.BP,counts,Acc.rate.yr.cm,CHAR
1486,15.54,11,6,2.75
1487,15.546,14,5,2.33
1488,15.551,15,5,2.5
1489,15.556,14,4,2.33
1490,15.56,13,4,2.6
1491,15.564,11,5,2.2
1492,15.569,14,5,2.33
1493,15.574,15,6,2.5
1494,15.58,35,5,7
1495,15.585,32,5,6.4
1496,15.59,31,5,5.17
1497,15.595,39,5,9.75
1498,15.6,32,6,6.4
1499,15.606,36,6,7.2
1500,15.612,34,5,6.8
1501,15.617,28,6,5.6
1502,15.623,26,4,6.5
1503,15.627,15,5,3.75
1504,15.632,14,6,2.8
1505,15.638,12,4,2.4
1506,15.642,15,6,3
1507,15.648,16,4,4
1508,15.652,15,5,2.5
1509,15.657,27,5,6.75
1510,15.662,26,6,5.2
1511,15.668,29,4,4.83
1512,15.672,31,5,7.75
1513,15.677,34,5,6.8
1514,15.682,32,5,6.4
1515,15.687,37,5,7.4
1516,15.692,21,4,5.25
1517,15.696,14,5,2.8
1518,15.701,65,6,10.83
1519,15.707,12,5,2.4
1520,15.712,10,5,2
1521,15.717,9,5,1.5
1522,15.722,8,5,1.6
1523,15.727,7,5,1.4
1524,15.732,3,5,0.75
1525,15.737,0,6,0
