Depth.cm,ka.BP,counts,Acc.rate.yr.cm,CHAR
734,9.988,42,10,4.2
735,9.998,38,10,3.45
736,10.008,36,11,3.6
737,10.019,27,10,2.45
738,10.029,21,11,1.75
739,10.04,18,11,1.8
740,10.051,38,11,3.45
741,10.062,23,9,2.09
742,10.071,45,10,4.5
743,10.081,78,8,7.09
744,10.089,87,11,7.91
745,10.1,101,10,10.1
746,10.11,124,8,11.27
747,10.118,98,11,9.8
748,10.129,78,9,7.8
749,10.138,48,9,4.8
750,10.147,53,12,5.3
751,10.159,145,10,13.18
752,10.169,89,11,8.09
753,10.18,75,11,7.5
754,10.191,58,11,5.27
755,10.202,56,11,4.31
756,10.213,49,12,4.45
757,10.225,47,12,4.7
758,10.237,124,11,12.4
759,10.248,117,12,10.64
760,10.26,108,11,10.8
761,10.271,121,12,9.31
762,10.283,124,11,11.27
763,10.294,154,13,12.83
764,10.307,147,13,13.36
765,10.32,193,12,17.55
766,10.332,187,13,15.58
767,10.345,175,11,13.46
768,10.356,189,11,18.9
769,10.367,187,11,18.7
770,10.378,178,12,22.25
771,10.39,192,9,19.2
772,10.399,195,13,19.5
773,10.412,187,13,17
774,10.425,201,11,15.46
775,10.436,187,10,15.58
776,10.446,141,12,11.75
777,10.458,175,10,14.58
778,10.468,194,10,21.56
779,10.478,214,12,23.78
780,10.49,180,8,18
781,10.498,106,8,13.25
782,10.506,85,10,8.5
783,10.516,114,10,12.67
784,10.526,101,9,9.18
785,10.535,98,11,8.91
786,10.546,81,10,8.1
787,10.556,98,12,10.89
788,10.568,115,8,11.5
789,10.576,97,8,8.82
790,10.584,101,10,10.1
791,10.594,77,9,7
792,10.603,95,9,8.64
793,10.612,84,9,9.33
794,10.621,78,8,7.09
795,10.629,65,10,5.91
796,10.639,83,11,7.55
797,10.65,80,9,8.89
798,10.659,92,8,9.2
799,10.667,73,8,8.11
800,10.675,57,10,5.7
801,10.685,49,10,4.45
802,10.695,50,9,5
803,10.704,57,11,5.18
804,10.715,60,9,6
805,10.724,62,8,6.89
806,10.732,56,9,5.09
807,10.741,43,10,5.38
808,10.751,45,8,5.63
809,10.759,57,8,7.13
810,10.767,44,6,6.29
811,10.773,46,6,7.67
812,10.779,42,5,10.5
813,10.784,38,7,6.33
814,10.791,36,6,5.14
815,10.797,30,6,5
816,10.803,21,5,3
817,10.808,21,8,3
818,10.816,0,6,0
819,10.822,0,7,0
820,10.829,0,5,0
821,10.834,0,6,0
822,10.84,0,7,0
823,10.847,0,6,0
824,10.853,0,6,0
825,10.859,0,7,0
826,10.866,0,5,0
827,10.871,0,5,0
828,10.876,0,7,0
829,10.883,0,9,0
830,10.892,0,6,0
831,10.898,21,7,4.2
832,10.905,18,8,3
833,10.913,14,6,2
834,10.919,15,5,2.5
835,10.924,17,7,3.4
836,10.931,10,6,1.67
837,10.937,21,7,4.2
838,10.944,26,6,4.33
839,10.95,27,6,5.4
840,10.956,21,6,3
841,10.962,18,6,3
842,10.968,15,6,2.5
843,10.974,10,5,2
844,10.979,5,6,0.83
845,10.985,2,6,0.25
846,10.991,9,6,1.29
847,10.997,8,6,0.89
848,11.003,3,6,0.5
849,11.009,7,4,1.17
850,11.013,8,6,1.14
851,11.019,5,5,0.83
852,11.024,8,6,1.33
853,11.03,9,6,1.29
854,11.036,11,5,1.83
855,11.041,10,5,1.43
856,11.046,11,4,2.2
857,11.05,11,4,1.57
858,11.054,10,4,1.43
859,11.058,11,5,1.83
