from,to,p_value,coeficiente,signo,significativo
Abies,Pinus,0.002195936823622939,0.602352408648863,positivo,True
Abies,Juniperus,0.29958908352405267,0.2004019809764887,positivo,False
Abies,Taxus,0.6494136710215723,-0.08862892271599873,negativo,False
Abies,Betula,0.00298482872464108,-0.59406961508032,negativo,True
Abies,Corylus,0.03193722261442893,-0.4208224697769141,negativo,True
Abies,Alnus,0.3334501803904326,0.1879660231489372,positivo,False
Abies,Carpinus,0.003004231327469156,0.6539732920976177,positivo,True
Abies,Salix,0.07161762794611684,-0.36142148632854626,negativo,False
Abies,Ulmus,0.5167633664589717,-0.13501677224182942,negativo,False
Abies,Populus,0.41042158520496663,-0.1586309997520607,negativo,False
Abies,Acer,0.5450289105000988,-0.11426047945147741,negativo,False
Abies,Fraxinus,0.17782471250063378,-0.2531041349345977,negativo,False
Abies,Fagus,0.09249379086870503,0.3930538957255916,positivo,False
Abies,Tilia,0.0763111805328186,-0.3243078919380009,negativo,False
Abies,Juglans,0.9689993641897052,-0.00759676484607661,negativo,False
Abies,Pistacia,0.11974800597707895,-0.29217473364442176,negativo,False
Abies,Rhamnus,0.8337016444797138,-0.04114469793279897,negativo,False
Abies,Buxus,0.732451118122513,-0.0662134133304606,negativo,False
Abies,Sambucus,0.6655413383611362,-0.08291319087165819,negativo,False
Abies,Viburnum,0.8192419788252975,-0.04450677168044848,negativo,False
Abies,Tamarix,0.446640207951837,-0.14697124139266504,negativo,False
Abies,Ephedra distachya,0.42766396508146065,-0.14695438335037184,negativo,False
Abies,Ephedra fragilis,0.052521312107913554,0.3999503258760046,positivo,False
Abies,Ericaceae,0.07301901966368438,0.39704545359474636,positivo,False
Abies,Hereda helix,0.6393474284964644,-0.0853218287508678,negativo,False
Abies,Ilex aquifolium,0.1523003752791069,0.26716847580251696,positivo,False
Abies,Oleaceae,0.30706286117566084,-0.1990668330319369,negativo,False
Abies,Poaceae,0.21719253089015678,0.23466065857618174,positivo,False
Abies,Artemisia,0.530958033448786,0.11203946779360774,positivo,False
Abies,Cichorioideae,0.7017825792080195,0.07507752615980372,positivo,False
Abies,Asteroideae,0.45496680169993653,0.14291154739229905,positivo,False
Abies,Cardueae,0.3396922355130363,-0.18655170977183264,negativo,False
Abies,Rubiaceae,0.8436530807477689,0.03738061045630389,positivo,False
Abies,Centaurea,0.6495737371485246,-0.07927839663167599,negativo,False
Abies,Chenopodiaceae,0.2331996549413763,0.21578257770021378,positivo,False
Abies,Caryophyllaceae,0.15928688527960025,-0.25268335853033114,negativo,False
Abies,Plantago,0.2897767930981945,-0.19859782928971959,negativo,False
Abies,Brassicaceae,0.038168984801188265,-0.41341747916182436,negativo,True
Abies,Saxifragaceae,0.0022400196131484237,-0.48706629078950253,negativo,True
Abies,Fabaceae,0.13930816055556805,0.28643943584666826,positivo,False
Abies,Genista,0.47029041450395526,-0.12857075642370747,negativo,False
Abies,Lotus type,0.3820446878901389,0.1605153742262498,positivo,False
Abies,Trifolium type,0.39413227623824476,0.17162211731988453,positivo,False
Abies,Rosaceae,0.11746851253132869,-0.3000681208187433,negativo,False
Abies,Ribes,0.2212713517440646,-0.22798810959814425,negativo,False
Abies,Boraginaceae,0.4024608925600297,0.161444086996756,positivo,False
Abies,Sedum,0.6370202586151879,-0.09090105791512645,negativo,False
Abies,Helianthemum,0.6638144553007843,-0.08020722898000607,negativo,False
Abies,Lamiaceae,0.3298366938778041,-0.18241582119476585,negativo,False
Abies,Urticaceae,0.7226742529007109,-0.06464395182303315,negativo,False
Abies,Rumex,0.1806028129781315,0.23667601337855887,positivo,False
Abies,Berberidaceae,0.4583307653829525,-0.1416829904770589,negativo,False
Abies,Euphorbiaceae,0.03196082542646946,0.39639744282384703,positivo,True
Abies,Primulaceae,0.2783575228224876,-0.20818900173334168,negativo,False
Abies,Scrophulariaceae,0.5764799096910513,0.0989217312214799,positivo,False
Abies,Papaver,0.2756036639590634,-0.20477186669913006,negativo,False
Abies,Campanulaceae,0.020725807248723735,0.42734087717293473,positivo,True
Abies,Convolvulaceae,0.5095964178310974,-0.12426913707271794,negativo,False
Abies,Liliaceae,0.8213433595052362,-0.04365723118097059,negativo,False
Abies,Iridaceae,0.813216275547923,-0.04435267621010888,negativo,False
Abies,Crassulaceae,0.04899833778748802,-0.3772309750684929,negativo,True
Abies,Ranunculaceae,0.4955828144742933,-0.12794554716648102,negativo,False
Abies,Cistaceae,0.2910748209425802,-0.2056188710186375,negativo,False
Abies,Galium,0.030841407223570934,0.39746265456073687,positivo,True
Abies,Apiaceae,0.39601190419193955,-0.14906858103490284,negativo,False
Abies,Valerianaceae,0.5297763647942786,-0.12242194274482443,negativo,False
Abies,Ranunculus,0.17999447912621727,-0.23728238598855053,negativo,False
Pinus,Abies,0.3040200406667823,-0.09971575309659797,negativo,False
Pinus,Juniperus,0.8624087642907371,-0.03206602065309315,negativo,False
Pinus,Taxus,0.22038333099791244,0.2232514625263361,positivo,False
Pinus,Betula,0.7646642295786168,-0.06647098740218604,negativo,False
Pinus,Corylus,0.4474036498870557,-0.11997728471703434,negativo,False
Pinus,Alnus,0.3738847143108148,-0.17158395309912372,negativo,False
