from,to,p_value,coeficiente,signo,significativo
Abies,Pinus,0.3422077154708626,-0.12454694153558288,negativo,False
Abies,Juniperus,0.8926311974767493,0.020314271873527735,positivo,False
Abies,Betula,0.19889854512187335,0.11288063582912988,positivo,False
Abies,Corylus,0.02217535105752674,0.31088183914523726,positivo,True
Abies,Alnus,0.17616250223954155,0.1636054720622968,positivo,False
Abies,Carpinus,0.3753958993381227,0.12909126616202204,positivo,False
Abies,Salix,0.17659569189630828,0.19556516190017675,positivo,False
Abies,Ulmus,0.5315454432828124,0.09174978236852413,positivo,False
Abies,Populus,0.01811580637717507,0.3388821736906209,positivo,True
Abies,Acer,0.8967991895609502,-0.019076125480090578,negativo,False
Abies,Fraxinus,0.09153395695009563,-0.2446700939856733,negativo,False
Abies,Fagus,0.7226472695876724,0.05193797128495393,positivo,False
Abies,Tilia,0.03238672849400569,0.29696295417382834,positivo,True
Abies,Juglans,0.2248922547005912,-0.17715415080876334,negativo,False
Abies,Castanea,0.13325124903631128,-0.1849103022639963,negativo,False
Abies,Pistacia,0.29018247960622284,-0.1528784574409699,negativo,False
Abies,Rhamnus,0.007709101207673548,0.40807532185181633,positivo,True
Abies,Phillyrea,0.5724192314351106,-0.08276679087999957,negativo,False
Abies,Buxus,0.3994856100351224,-0.12195191170418332,negativo,False
Abies,Sambucus,0.3025565231053203,-0.13883000300064952,negativo,False
Abies,Viburnum,0.8273274346318815,-0.03196460872640032,negativo,False
Abies,Tamarix,0.5346748339953417,-0.08168287272493316,negativo,False
Abies,Thymelaeaceae,0.3114704983858906,0.15023925026537102,positivo,False
Abies,Ephedra distachya,0.14593375273777165,0.23507130557083122,positivo,False
Abies,Ephedra fragilis,0.8504420111825732,0.028292233299211142,positivo,False
Abies,Ericaceae,0.7851786116716372,0.038268172164821646,positivo,False
Abies,Hereda helix,0.7671583488309444,0.043385944507979904,positivo,False
Abies,Ilex aquifolium,4.5763144626527175e-06,0.5575644421980738,positivo,True
Abies,Viscum album,0.7636601747895786,-0.04654139380321952,negativo,False
Abies,Vitis,0.12161793967602198,-0.23211160786101112,negativo,False
Abies,Oleaceae,0.09709860527718352,-0.24012691459262422,negativo,False
Abies,Myrtus,0.5790990464132786,-0.08139144032929566,negativo,False
Abies,Olea,0.2602777195016691,-0.10980003894666596,negativo,False
Abies,Poaceae,0.8543681852018371,-0.0267620032530385,negativo,False
Abies,Artemisia,0.4561568745461285,-0.08403303652364474,negativo,False
Abies,Cichorioideae,0.09408233284592316,0.2322213730009015,positivo,False
Abies,Asteroideae,0.8434579438563483,0.02883572254618029,positivo,False
Abies,Cardueae,0.9891454995731825,0.0019500796002756005,positivo,False
Abies,Rubiaceae,0.03989983882029731,0.2860499534563751,positivo,True
Abies,Centaurea,0.25925940569499384,-0.1638416928394615,negativo,False
Abies,Chenopodiaceae,0.3379386262896018,-0.1364414815834048,negativo,False
Abies,Caryophyllaceae,0.15046068048358507,-0.20800174779667535,negativo,False
Abies,Plantago,0.6874389953550074,-0.05824564053335787,negativo,False
Abies,Brassicaceae,0.45683461146542936,-0.10564502544093796,negativo,False
Abies,Saxifragaceae,0.04193992003761276,-0.2923314382575362,negativo,True
Abies,Fabaceae,0.029115629567024223,0.2455103957989213,positivo,True
Abies,Genista,0.4408646027572519,0.06778736331947244,positivo,False
Abies,Lotus type,0.9709845041974324,0.005217510623200222,positivo,False
Abies,Trifolium type,0.300876094116834,-0.1434276055464409,negativo,False
Abies,Rosaceae,0.7684614169099949,0.04329603443045088,positivo,False
Abies,Ribes,0.19555659215350463,-0.18665791587866118,negativo,False
Abies,Boraginaceae,0.08087876555664837,0.25445464857870675,positivo,False
Abies,Sedum,0.2305608047760021,-0.17264661788003902,negativo,False
Abies,Helianthemum,0.9532465174527287,-0.008583347748421087,negativo,False
Abies,Lamiaceae,0.7462213112502172,0.043804643612240235,positivo,False
Abies,Urticaceae,0.11060825505350334,0.2122089676785479,positivo,False
Abies,Rumex,0.0740535480632745,-0.26511692896249106,negativo,False
Abies,Berberidaceae,0.7839895593134022,0.03567609710318498,positivo,False
Abies,Euphorbiaceae,0.6816583083593042,0.06407539617299535,positivo,False
Abies,Primulaceae,0.24940790725173115,-0.16555126779726514,negativo,False
Abies,Scrophulariaceae,0.8614730514608935,0.02014585228073268,positivo,False
Abies,Papaver,0.6926464760932457,-0.057758546808687417,negativo,False
Abies,Campanulaceae,0.24094060500489353,0.1657959415176913,positivo,False
Abies,Convolvulaceae,0.5630701841755444,-0.08505507035472198,negativo,False
Abies,Liliaceae,0.43422456474620486,0.11955469841880334,positivo,False
Abies,Iridaceae,0.5474327966979633,-0.0876187259458527,negativo,False
Abies,Crassulaceae,0.2671021644499539,-0.1600738175149261,negativo,False
Abies,Ranunculaceae,0.9052399129906893,0.016758477394930138,positivo,False
Abies,Cistaceae,0.7532698824487701,-0.0453163105994463,negativo,False
Abies,Galium,0.2919493762163659,-0.15811640776000796,negativo,False
Abies,Apiaceae,0.03636706120094965,0.3081088009168292,positivo,True
Abies,Valerianaceae,0.19530012779083433,0.18540291116758914,positivo,False
Abies,Polygonaceae,0.21868581647841878,-0.1787224115672224,negativo,False
Abies,Ranunculus,0.3720345909595455,0.12934885354320091,positivo,False
Pinus,Abies,0.35134194505090743,-0.11192522425848173,negativo,False
Pinus,Juniperus,0.0030835751527111543,0.41458412002686873,positivo,True
Pinus,Betula,0.6513435442416116,-0.04715877215840647,negativo,False
Pinus,Corylus,0.10268527208766817,-0.20074051698570616,negativo,False
Pinus,Alnus,0.18373742074095617,-0.15015809674519948,negativo,False
Pinus,Carpinus,0.8091838726585088,0.036244047341137106,positivo,False
Pinus,Salix,0.4184558510790073,0.12065321455766566,positivo,False
Pinus,Ulmus,0.9376228968790588,0.012114992036169312,positivo,False
Pinus,Populus,0.9796754327407605,-0.003933221355089049,negativo,False
Pinus,Acer,0.9964581683760199,0.0006671331568428086,positivo,False
Pinus,Fraxinus,0.440051149243337,0.11254483967450868,positivo,False
Pinus,Fagus,0.6375186624121316,0.07168132597928267,positivo,False
Pinus,Tilia,0.11570781583893627,-0.23296374509088763,negativo,False
Pinus,Juglans,0.17669965493421588,0.19340545193163622,positivo,False
Pinus,Castanea,0.09411390235773716,0.21757918251641079,positivo,False
Pinus,Pistacia,0.3214586615249688,-0.14857178197542686,negativo,False
Pinus,Rhamnus,0.4292078395467026,-0.1197009166578876,negativo,False
Pinus,Phillyrea,0.6553882074050245,-0.0674021205321441,negativo,False
Pinus,Buxus,0.2771047547007962,0.16188488092968242,positivo,False
Pinus,Sambucus,0.6116817580086333,-0.06876317860274486,negativo,False
Pinus,Viburnum,0.5593906214211186,-0.08921189292679986,negativo,False
Pinus,Tamarix,0.8873150016999191,0.019758735081687795,positivo,False
Pinus,Thymelaeaceae,0.8455645038631897,0.029144547826931988,positivo,False
Pinus,Ephedra distachya,0.4918711135291862,0.10322405043949923,positivo,False
Pinus,Ephedra fragilis,0.6970986078884379,0.06015629137960707,positivo,False
Pinus,Ericaceae,0.8523611188406813,-0.026727968912949512,negativo,False
Pinus,Hereda helix,0.138934661756803,-0.2188431783442005,negativo,False
Pinus,Ilex aquifolium,0.3463924718546181,0.12499699330952466,positivo,False
Pinus,Viscum album,0.12018999396922948,-0.2292796116855998,negativo,False
Pinus,Vitis,0.4647356225972573,0.10983910937481373,positivo,False
Pinus,Oleaceae,0.502543924788704,-0.09916612044446058,negativo,False
Pinus,Myrtus,0.7713603043475139,-0.04367182762794623,negativo,False
Pinus,Olea,0.0028959213346821766,0.25980219066423704,positivo,True
Pinus,Poaceae,0.5048645846625242,-0.09943851958326361,negativo,False
Pinus,Artemisia,0.7394139008034036,-0.0375616262027601,negativo,False
Pinus,Cichorioideae,0.09481616821384838,-0.25271382970217954,negativo,False
Pinus,Asteroideae,0.1270353511954308,-0.22770703115121516,negativo,False
Pinus,Cardueae,0.09865737137748946,0.2736846427227785,positivo,False
Pinus,Rubiaceae,0.027281352730242698,-0.3221910974121287,negativo,True
Pinus,Centaurea,0.25309591528021813,-0.16960480944583547,negativo,False
Pinus,Chenopodiaceae,0.10535894339671777,0.22497037221044125,positivo,False
Pinus,Caryophyllaceae,0.034641540605448384,-0.31929759338873576,negativo,True
Pinus,Plantago,0.13654046877335282,0.21762307103752412,positivo,False
Pinus,Brassicaceae,0.5190616697406532,0.09390330677987893,positivo,False
Pinus,Saxifragaceae,0.6112587447452745,-0.07416863466433478,negativo,False
Pinus,Fabaceae,0.33973034918837874,-0.11327655883808974,negativo,False
Pinus,Genista,0.15194485924512066,-0.12748649565158843,negativo,False
Pinus,Lotus type,0.18514313266463575,-0.1957118758235371,negativo,False
Pinus,Trifolium type,0.7183649189902456,-0.054158507818591106,negativo,False
Pinus,Rosaceae,0.23203297281062693,-0.17387115006979081,negativo,False
Pinus,Ribes,0.8672768718176532,0.024458289836274676,positivo,False
Pinus,Boraginaceae,0.01843992423036971,0.33971345391837343,positivo,True
Pinus,Sedum,0.0985623162276631,-0.24757051598886912,negativo,False
Pinus,Helianthemum,0.11636810415301904,-0.23082184588863203,negativo,False
Pinus,Lamiaceae,0.6179901486753714,-0.06942022494462247,negativo,False
Pinus,Urticaceae,0.9587632728214963,-0.007142379909836289,negativo,False
Pinus,Rumex,0.35166734951979794,0.14252264126796327,positivo,False
Pinus,Berberidaceae,0.8934428937885337,-0.018107428319229485,negativo,False
Pinus,Euphorbiaceae,0.9669490595130665,0.006240996534910418,positivo,False
Pinus,Primulaceae,0.5898457817571338,-0.0797786560753997,negativo,False
Pinus,Scrophulariaceae,0.22546885604343705,-0.1590663803003094,negativo,False
Pinus,Papaver,0.5530030464829379,0.0882364705887646,positivo,False
Pinus,Campanulaceae,0.9492209268947566,-0.009413788969074445,negativo,False
Pinus,Convolvulaceae,0.9669604892876692,0.006167535241680781,positivo,False
Pinus,Liliaceae,0.18434329548924433,-0.20075386160149336,negativo,False
Pinus,Iridaceae,0.7221815230056633,0.05317173528974253,positivo,False
Pinus,Crassulaceae,0.06572232034049842,0.26709672260735884,positivo,False
Pinus,Ranunculaceae,0.9065959918759052,0.01714280696297253,positivo,False
Pinus,Cistaceae,0.5117443797597903,0.0987860169261694,positivo,False
Pinus,Galium,0.6950936890228143,-0.058852541006515255,negativo,False
Pinus,Apiaceae,0.4891688372237195,0.10452377109112838,positivo,False
Pinus,Valerianaceae,0.5972720712844568,0.07800481318697866,positivo,False
Pinus,Polygonaceae,0.46099417769318973,0.10971449910316172,positivo,False
Pinus,Ranunculus,0.007489219395675452,0.380674669693658,positivo,True
Juniperus,Abies,0.4923928851673356,-0.08270969374422232,negativo,False
Juniperus,Pinus,0.08836354505915334,0.2187445487158607,positivo,False
Juniperus,Betula,0.8413628546944153,0.017921424403289254,positivo,False
Juniperus,Corylus,0.5957794127065094,0.0658468404939424,positivo,False
Juniperus,Alnus,0.3868808853131792,0.09800165188602261,positivo,False
Juniperus,Carpinus,0.3857284481688088,0.12648344409565168,positivo,False
Juniperus,Salix,0.15489239673634247,-0.19928501213042127,negativo,False
Juniperus,Ulmus,0.40624334571690657,-0.12014900291733877,negativo,False
Juniperus,Populus,0.9758263973830957,0.004423162161911269,positivo,False
Juniperus,Acer,0.887779420475197,-0.02086793381620837,negativo,False
Juniperus,Fraxinus,0.4565078388415692,0.10511705285265999,positivo,False
Juniperus,Fagus,0.9003526163138411,-0.018568217352072838,negativo,False
Juniperus,Tilia,0.9344543672327423,0.01180110837205825,positivo,False
Juniperus,Juglans,0.6876586409590411,0.05767595811121948,positivo,False
Juniperus,Castanea,0.9041715915567174,0.014313235166775407,positivo,False
Juniperus,Pistacia,0.6180210692517489,-0.0735301103776668,negativo,False
Juniperus,Rhamnus,0.12694859056819327,-0.21856774592794317,negativo,False
Juniperus,Phillyrea,0.6979196427498922,-0.05713010397863751,negativo,False
Juniperus,Buxus,0.8819888842907035,-0.021569907390827342,negativo,False
Juniperus,Sambucus,0.7907919687546263,-0.03502184245155787,negativo,False
Juniperus,Viburnum,0.5796471507506379,-0.08100577229812617,negativo,False
Juniperus,Tamarix,0.02343524860095055,-0.2859080308230452,negativo,True
Juniperus,Thymelaeaceae,0.4253565472865486,0.11799800475563596,positivo,False
Juniperus,Ephedra distachya,0.5068327478661375,-0.09758372855294956,negativo,False
Juniperus,Ephedra fragilis,0.2570573365629429,0.16329017418289954,positivo,False
Juniperus,Ericaceae,0.8841395431591464,-0.02041895451896758,negativo,False
Juniperus,Hereda helix,0.3659712765826477,-0.1318222273628105,negativo,False
Juniperus,Ilex aquifolium,0.28236395536669745,-0.13867697321746397,negativo,False
Juniperus,Viscum album,0.6796343311187542,0.06212868185941845,positivo,False
