from,to,p_value,coefficient,significant,sign
Abies,Pinus,0.08380618202901764,3.633825318449515,False,positive
Abies,Juniperus,0.9739565781469974,0.0044111761396259915,False,positive
Abies,Taxus,0.614907385114734,-0.006391270459859707,False,negative
Abies,Betula,0.025731155639124724,-2.916777127344976,False,negative
Abies,Corylus,0.0045871679987214645,-1.2468834540980718,True,negative
Abies,Alnus,0.2923147505175716,0.07193451744061621,False,positive
Abies,Carpinus,0.011603845532261979,0.03571428571428569,False,positive
Abies,Salix,0.026853287165725832,-0.2905602864689305,False,negative
Abies,Ulmus,0.031054496553004247,-0.16097738018166505,False,negative
Abies,Populus,0.4649080744789279,-0.051616161616161525,False,negative
Abies,Acer,0.5020894786271362,-0.013877136571331886,False,negative
Abies,Fraxinus,0.5428342919670104,-0.04276691030461807,False,negative
Abies,Fagus,4.029059932609747e-09,0.2410953657602451,True,positive
Abies,Tilia,0.27878246669186707,-0.1946499656473662,False,negative
Abies,Juglans,0.7782497176387467,0.0035853468433359337,False,positive
Abies,Castanea,1.0,0.0,False,neutral
Abies,Pistacia,0.05870945035684749,-0.06365171426473834,False,negative
Abies,Rhamnus,0.2470094457048706,0.02755097585469152,False,positive
Abies,Phillyrea,1.0,0.0,False,neutral
Abies,Buxus,0.6896252793564044,0.015040514060762256,False,positive
Abies,Sambucus,0.7410541605580898,0.016700815711137722,False,positive
Abies,Viburnum,0.13298728534952342,-0.056987874920229706,False,negative
Abies,Sanguisorba,1.0,0.0,False,neutral
Abies,Tamarix,0.3382544892400172,-0.05839257217467003,False,negative
Abies,Thymelaeaceae,1.0,0.0,False,neutral
Abies,Ephedra distachya,0.300730722279625,-0.04124113705847917,False,negative
Abies,Ephedra fragilis,0.0068377653243073,0.09741068799130101,True,positive
Abies,Ericaceae,0.004624531480695411,0.2993281178094801,True,positive
Abies,Hereda helix,0.5465472039108584,-0.017928336181066346,False,negative
Abies,Ilex aquifolium,0.6168095704567006,-0.010427841908767112,False,negative
Abies,Viscum album,1.0,0.0,False,neutral
Abies,Lonicera,1.0,0.0,False,neutral
Abies,Vitis,1.0,0.0,False,neutral
Abies,Oleaceae,0.6990890335869713,-0.01715495154283175,False,negative
Abies,Myrtus,1.0,0.0,False,neutral
Abies,Olea,1.0,0.0,False,neutral
Abies,Poaceae,0.5722964342098578,-0.238501922405915,False,negative
Abies,Lygeum spartum,1.0,0.0,False,neutral
Abies,Artemisia,0.5115554133930114,-0.14760766358446079,False,negative
Abies,Cichorioideae,0.25915588296701636,-0.10873565949806602,False,negative
Abies,Asteroideae,0.7441988328666775,0.02469869129510047,False,positive
Abies,Cardueae,0.27592657815225696,-0.04020757407700845,False,negative
Abies,Rubiaceae,0.6112071905059666,-0.03764769089171619,False,negative
Abies,Centaurea,0.614606481518032,-0.013681868743047818,False,negative
Abies,Chenopodiaceae,0.35852561175624176,0.13683337465687803,False,positive
Abies,Caryophyllaceae,0.1564464160188281,-0.160123216814335,False,negative
Abies,Plantago,0.28029597876238815,-0.060642940069658625,False,negative
Abies,Brassicaceae,0.013395920441644019,-0.3086887596605917,False,negative
Abies,Saxifragaceae,0.0007910882370078358,-0.21607151682215825,True,negative
Abies,Fabaceae,0.023682749730407796,1.0071347430220372,False,positive
Abies,Genista,0.893218780763476,-0.023292806517525633,False,negative
Abies,Lotus type,0.23240101203329872,0.13207710192283512,False,positive
Abies,Trifolium type,0.3425155573014601,0.13094121179815715,False,positive
Abies,Rosaceae,0.28321420171476186,-0.24255103904520395,False,negative
Abies,Ribes,0.33384124631080137,-0.03363674724214845,False,negative
Abies,Boraginaceae,0.7207547541023096,-0.014281616570298477,False,negative
Abies,Sedum,0.9641259059247694,0.0036199236227321494,False,positive
