age (kyr BP),depth (mm),d13C (permil)
8.626,537.68,-7.68
8.64,538.68,-7.71
8.647,539.19,-7.62
8.653,539.68,-7.51
8.667,540.68,-8.03
8.672,541.06,-8.13
8.68,541.68,-8.3
8.694,542.66,-7.55
8.697,542.79,-7.44
8.722,543.79,-7.49
8.748,544.79,-7.76
8.773,545.79,-7.38
8.798,546.79,-7.66
8.823,547.79,-7.16
8.849,548.79,-7.2
8.874,549.79,-7.64
8.899,550.79,-7.42
8.925,551.79,-7.87
8.95,552.79,-7.61
8.968,553.78,-7.22
8.986,554.78,-7.56
9.005,555.78,-7.38
9.023,556.78,-7.32
9.041,557.78,-7.55
9.06,558.78,-7.26
9.078,559.78,-7.34
9.096,560.78,-7.58
9.114,561.78,-6.79
9.133,562.78,-7.26
9.151,563.78,-7.26
9.169,564.78,-6.87
9.188,565.78,-7.46
9.206,566.78,-7.39
9.224,567.78,-6.82
9.242,568.78,-7.64
9.261,569.78,-7.11
9.279,570.78,-6.68
9.297,571.78,-6.72
9.315,572.78,-7.59
9.334,573.78,-7.51
9.352,574.78,-7.65
9.37,575.78,-7.83
9.389,576.78,-7.81
9.407,577.78,-7.87
9.425,578.78,-8.07
9.443,579.78,-7.79
9.462,580.78,-7.45
9.48,581.78,-8.12
9.5,582.78,-7.88
9.52,583.78,-7.65
9.54,584.78,-7.44
9.56,585.78,-7.83
9.58,586.78,-7.48
9.6,587.78,-7.62
9.62,588.78,-7.73
9.64,589.78,-7.74
9.66,590.78,-7.96
9.68,591.78,-8.01
9.7,592.78,-7.9
9.72,593.78,-7.65
9.74,594.78,-7.49
9.76,595.78,-7.16
9.78,596.78,-7.35
9.8,597.78,-7.71
9.82,598.78,-7.69
9.84,599.78,-7.82
9.86,600.78,-7.91
9.88,601.78,-7.63
9.9,602.78,-7.81
9.92,603.78,-7.74
9.94,604.78,-7.11
9.96,605.78,-7.49
9.98,606.78,-7.48
10,607.78,-7.47
10.02,608.78,-7.92
10.04,609.78,-7.49
10.06,610.78,-7.73
10.08,611.78,-7.33
10.1,612.78,-7.88
10.126,613.79,-7.62
10.152,614.79,-8.23
10.178,615.79,-7.46
10.204,616.79,-7.67
10.23,617.79,-7.49
10.256,618.79,-7.39
10.282,619.79,-7.44
10.308,620.79,-7.63
10.334,621.79,-7.11
10.36,622.79,-7.78
10.379,623.78,-7.5
10.397,624.78,-7.19
10.416,625.78,-7.5
10.435,626.78,-7.38
10.454,627.78,-6.99
10.472,628.78,-7
10.491,629.78,-6.82
10.51,630.78,-6.8
10.528,631.78,-7.05
10.547,632.78,-6.99
10.566,633.78,-6.84
10.584,634.78,-6.99
10.603,635.78,-6.76
10.622,636.78,-6.69
10.641,637.78,-6.52
10.659,638.78,-6.53
10.678,639.78,-6.6
10.697,640.78,-6.53
10.715,641.78,-6.9
10.734,642.78,-6.75
10.753,643.78,-6.56
10.771,644.78,-7.06
10.79,645.78,-6.73
10.808,646.77,-6.9
10.825,647.77,-6.86
10.843,648.77,-6.31
10.86,649.77,-6.13
10.878,650.77,-6.53
10.895,651.77,-6.53
10.913,652.77,-6.2
10.93,653.77,-6.37
10.948,654.77,-6.44
10.965,655.77,-6.56
10.983,656.77,-6.51
11,657.77,-6.56
11.018,658.77,-6.44
11.035,659.77,-6.65
11.053,660.77,-6.41
11.07,661.77,-6.58
11.088,662.77,-6.96
11.105,663.77,-6.53
11.122,664.77,-6.25
11.14,665.77,-6.37
11.157,666.77,-6.86
11.175,667.77,-6.24
11.192,668.77,-6.46
11.21,669.77,-6.38
11.227,670.77,-6.63
11.245,671.77,-6.73
11.262,672.77,-7.03
11.28,673.77,-6.12
11.297,674.77,-6.16
11.315,675.77,-6.26
11.332,676.77,-6.14
11.35,677.77,-6.09
11.367,678.77,-6.32
11.385,679.77,-6.55
11.402,680.77,-6.11
11.42,681.77,-6.39
11.437,682.77,-5.81
11.455,683.77,-5.6
11.472,684.77,-5.82
11.49,685.77,-6.1
11.507,686.77,-6.33
11.525,687.77,-6.26
11.542,688.77,-5.73
11.56,689.77,-5.85
11.6,690.81,-5.94
11.641,691.81,-6
11.681,692.81,-5.9
11.722,693.81,-6.03
11.762,694.81,-6.03
11.803,695.81,-5.61
11.843,696.81,-6.02
11.884,697.81,-6.06
11.924,698.81,-5.83
11.964,699.81,-6.04
12.005,700.81,-5.97
12.045,701.81,-5.84
12.086,702.81,-5.73
12.126,703.81,-6.18
12.167,704.81,-6.2
12.207,705.81,-5.74
12.248,706.81,-5.73
12.288,707.81,-6.09
12.329,708.81,-6.16
12.369,709.81,-5.93
12.41,710.81,-5.61
12.422,711.75,-5.88
12.435,712.75,-6.14
12.448,713.75,-6.16
12.461,714.75,-5.8
12.473,715.75,-5.86
12.486,716.75,-5.72
12.499,717.75,-6.05
12.512,718.75,-5.88
12.525,719.75,-5.83
12.537,720.75,-5.88
12.55,721.75,-5.86
12.563,722.75,-6.03
12.576,723.75,-6.01
12.588,724.75,-5.92
12.601,725.75,-6.34
12.614,726.75,-6.27
12.627,727.75,-6.39
12.64,728.75,-6.74
12.652,729.75,-6.47
12.665,730.75,-6.5
12.678,731.75,-6.24
12.691,732.75,-6.01
