age (kyr BP),depth (mm),d13C (permil)
1.231,157.45,-6.43
1.24,158,-6.51
1.24,158.01,-6.51
1.249,158.57,-6.35
1.256,159,-6.55
1.259,159.13,-6.56
1.268,159.69,-6.25
1.273,160,-6.45
1.277,160.25,-6.44
1.287,160.81,-5.95
1.29,161,-5.81
1.296,161.37,-5.75
1.305,161.93,-5.81
1.306,162,-5.83
1.315,162.48,-6.06
1.323,163,-6
1.324,163.04,-5.99
1.333,163.6,-6.81
1.34,164,-6.89
1.343,164.16,-6.92
1.352,164.72,-6.42
1.357,165,-6.32
1.361,165.28,-6.21
1.371,165.84,-6.31
1.373,166,-6.45
1.38,166.4,-6.82
1.389,166.96,-6.9
1.39,167,-6.89
1.399,167.52,-6.54
1.407,168,-6.73
1.408,168.08,-6.75
1.417,168.63,-6.45
1.423,169,-6.48
1.427,169.19,-6.52
1.436,169.75,-6.99
1.44,170,-7.07
1.445,170.31,-7.5
1.455,170.87,-8.38
1.457,171,-8.31
1.464,171.43,-7.39
1.473,171.99,-6.73
1.474,172,-6.72
1.483,172.55,-6.77
1.49,173,-6.99
1.492,173.11,-7.05
1.501,173.67,-6.12
1.507,174,-5.97
1.511,174.23,-6.03
1.52,174.78,-6.88
1.524,175,-7.02
1.529,175.34,-7.05
1.539,175.9,-6.67
1.54,176,-6.65
1.548,176.46,-6.67
1.557,177,-6.63
1.557,177.02,-6.62
1.567,177.58,-6.14
1.574,178,-6.45
1.576,178.14,-6.61
1.585,178.7,-7.06
1.59,179,-6.98
1.595,179.26,-6.72
1.604,179.82,-6.27
1.607,180,-6.25
1.613,180.38,-6.39
1.623,180.93,-6.37
1.624,181,-6.34
1.633,181.55,-5.91
1.641,182,-6.06
1.643,182.16,-6.11
1.653,182.77,-6.52
1.657,183,-6.66
1.664,183.38,-6.92
1.674,183.99,-6.17
1.674,184,-6.16
1.684,184.6,-6.1
1.691,185,-6.43
1.694,185.21,-6.55
1.704,185.82,-6.43
1.707,186,-6.35
1.715,186.43,-6.34
1.724,187,-6.54
1.725,187.04,-6.55
1.735,187.65,-7
1.741,188,-7.04
1.745,188.26,-6.87
1.755,188.88,-6.25
1.757,189,-6.22
1.766,189.49,-6.63
1.774,190,-6.88
1.776,190.08,-6.78
1.786,190.6,-6.31
1.794,191,-6.22
1.796,191.12,-6.24
1.806,191.64,-5.96
1.813,192,-5.89
1.817,192.17,-5.95
1.827,192.69,-6.07
1.833,193,-6.1
1.837,193.21,-6.13
1.847,193.73,-6.03
1.853,194,-6.18
1.857,194.25,-6.28
1.868,194.77,-6.55
1.872,195,-6.44
1.878,195.29,-6.25
1.888,195.81,-5.76
1.892,196,-5.83
1.898,196.33,-6.11
1.908,196.85,-6.43
1.911,197,-6.43
1.919,197.37,-6.19
1.929,197.89,-6.26
1.931,198,-6.3
1.939,198.41,-6.73
1.949,198.93,-7.28
1.95,199,-7.24
1.959,199.46,-6.52
1.97,199.98,-6.28
1.97,200,-6.27
1.98,200.5,-6.19
1.99,201,-6.34
1.99,201.02,-6.35
2,201.54,-6.39
2.009,202,-6.78
2.01,202.06,-6.81
2.021,202.58,-6.42
2.029,203,-6.47
2.031,203.1,-6.48
2.041,203.62,-6.61
2.048,204,-6.45
2.051,204.14,-6.42
2.061,204.66,-6.7
2.068,205,-6.86
2.072,205.18,-6.88
2.082,205.7,-6.87
2.088,206,-6.93
2.092,206.23,-7.03
2.102,206.75,-7.72
2.107,207,-7.76
2.112,207.27,-7.79
2.123,207.79,-7.14
2.127,208,-7.08
2.133,208.31,-6.9
2.143,208.83,-6.92
2.146,209,-6.68
2.153,209.35,-6.39
2.163,209.87,-7.01
2.166,210,-7.23
2.174,210.39,-7.76
2.184,210.91,-7.13
2.186,211,-7.07
2.201,211.79,-6.45
2.205,212,-6.39
2.218,212.66,-6.57
2.225,213,-7.03
2.235,213.53,-7.44
2.244,214,-6.65
2.252,214.41,-6.41
2.264,215,-6.59
2.269,215.28,-6.5
2.284,216,-6.56
2.287,216.16,-6.6
2.303,217,-7.06
2.304,217.03,-7.06
2.321,217.9,-6.51
2.323,218,-6.53
2.338,218.78,-7.37
2.342,219,-7.59
2.355,219.65,-7.62
2.362,220,-7.53
2.372,220.53,-7.57
2.382,221,-7.72
2.389,221.4,-7.7
2.401,222,-7.35
2.406,222.27,-7.21
2.421,223,-7.56
2.424,223.15,-7.47
2.44,224,-5.94
2.441,224.02,-5.93
2.452,224.58,-5.83
2.46,225,-6.33
2.462,225.09,-6.39
2.462,225.12,-6.34
2.465,225.22,-5.89
2.469,225.35,-5.83
2.472,225.47,-5.73
2.473,225.52,-5.7
2.475,225.6,-5.57
2.479,225.73,-5.31
2.482,225.85,-5.35
2.484,225.92,-5.21
2.486,225.98,-5.13
2.486,226,-5.12
2.489,226.11,-5.2
2.493,226.23,-5.36
2.495,226.32,-5.37
2.496,226.36,-5.35
2.5,226.49,-5.38
2.503,226.61,-5.3
2.506,226.72,-5.17
2.506,226.74,-5.17
2.51,226.87,-5.32
2.513,226.99,-5.38
2.514,227,-5.38
2.517,227.12,-5.29
2.517,227.12,-5.29
2.52,227.24,-5.36
2.524,227.37,-5.35
2.527,227.5,-5.31
2.528,227.52,-5.37
2.53,227.62,-5.64
2.534,227.75,-5.23
2.537,227.88,-5.31
2.538,227.92,-5.41
2.541,228,-5.64
2.541,228,-5.64
2.544,228.13,-5.58
2.548,228.26,-5.82
2.549,228.32,-5.93
2.551,228.38,-6
2.555,228.51,-5.62
2.558,228.64,-5.46
2.56,228.72,-5.39
2.561,228.76,-5.42
2.565,228.89,-5.8
2.568,229,-5.67
2.568,229.01,-5.68
2.571,229.12,-5.94
2.572,229.14,-5.96
2.575,229.27,-5.84
2.579,229.39,-5.75
2.582,229.52,-5.61
2.585,229.65,-5.81
2.589,229.77,-5.97
2.592,229.9,-5.54
2.593,229.91,-5.53
2.595,230,-5.57
2.596,230.03,-5.58
2.599,230.15,-5.58
2.603,230.28,-5.87
2.604,230.31,-5.89
2.606,230.41,-5.78
2.61,230.53,-5.89
2.613,230.66,-5.97
2.614,230.71,-5.77
2.616,230.78,-5.55
2.62,230.91,-5.54
2.622,231,-5.6
2.623,231.04,-5.61
2.625,231.11,-5.52
2.627,231.16,-5.49
2.63,231.29,-5.49
2.634,231.42,-5.64
2.636,231.52,-6.01
2.636,231.53,-6.07
2.638,231.61,-6.27
2.64,231.71,-5.83
2.642,231.81,-5.8
2.645,231.91,-6.07
2.647,232,-6
2.647,232.01,-5.98
2.647,232.01,-5.98
2.649,232.11,-5.88
2.651,232.21,-5.85
2.654,232.3,-5.69
2.656,232.4,-5.68
2.658,232.5,-5.54
2.658,232.5,-5.54
2.66,232.6,-5.45
2.662,232.7,-5.43
2.665,232.8,-5.51
2.667,232.89,-5.72
2.669,232.99,-6.01
2.669,233,-6
2.671,233.09,-5.8
2.674,233.19,-5.85
2.676,233.29,-5.94
2.678,233.37,-6.27
2.678,233.39,-6.32
2.68,233.49,-6
2.682,233.58,-6.09
2.685,233.68,-6.25
2.687,233.78,-6.24
2.689,233.88,-5.86
2.691,233.98,-5.82
2.692,234,-5.81
2.694,234.08,-5.72
2.696,234.18,-5.67
2.698,234.25,-5.7
2.698,234.27,-5.72
2.7,234.37,-5.91
2.702,234.47,-5.92
2.705,234.57,-5.92
2.707,234.67,-5.79
2.714,235,-5.68
2.717,235.16,-5.71
2.735,236,-5.65
2.737,236.11,-5.64
2.756,237,-5.86
2.757,237.05,-5.86
2.759,237.14,-5.81
2.777,237.99,-5.4
2.777,238,-5.4
2.797,238.93,-5.43
2.798,239,-5.44
2.811,239.61,-5.7
2.816,239.87,-5.74
2.819,240,-5.71
2.836,240.31,-5.43
2.856,240.67,-5.62
2.874,241,-5.88
2.876,241.03,-5.89
2.896,241.39,-5.25
2.916,241.75,-5.35
2.929,241.99,-5.25
2.931,242.03,-5.22
2.935,242.11,-5.19
2.955,242.47,-5.19
2.975,242.83,-5.04
2.986,243.03,-5.13
2.995,243.19,-5.23
3.015,243.55,-5.78
3.034,243.91,-5.17
3.041,244.03,-5.45
3.054,244.27,-6.08
3.074,244.63,-5.48
3.094,245,-5.14
3.096,245.03,-5.11
3.114,245.36,-4.94
3.133,245.72,-5.1
3.151,246.03,-5.08
3.153,246.08,-5.08
3.173,246.44,-5.2
3.193,246.8,-5.39
3.206,247.03,-5.41
3.213,247.16,-5.38
3.233,247.52,-5.46
3.252,247.88,-5.19
3.261,248.03,-5.47
3.272,248.24,-6.08
3.292,248.6,-5.97
3.312,248.96,-5.73
3.316,249.03,-5.72
3.332,249.32,-5.49
3.351,249.68,-5.72
3.371,250.03,-6.24
3.371,250.04,-6.24
3.391,250.4,-5.73
3.411,250.76,-6.12
3.426,251.03,-5.67
3.431,251.12,-5.51
3.451,251.48,-5.17
3.473,251.88,-5.22
3.481,252.03,-5.23
3.495,252.28,-5.41
3.517,252.68,-5.92
3.536,253.03,-5.67
3.539,253.08,-5.63
3.561,253.48,-5.66
3.583,253.88,-5.83
3.591,254.03,-5.79
3.605,254.28,-5.46
3.627,254.68,-5.22
3.646,255.03,-4.99
3.649,255.08,-5.06
3.671,255.48,-5.6
3.693,255.89,-6.1
3.701,256.03,-6.29
3.715,256.29,-6.04
3.737,256.69,-5.58
3.756,257.03,-5.22
3.759,257.09,-5.22
3.781,257.49,-5.27
3.803,257.89,-5.31
3.811,258.03,-5.3
3.825,258.29,-5.21
3.847,258.69,-4.96
3.866,259.03,-4.56
3.869,259.09,-4.5
3.891,259.49,-4.81
3.913,259.89,-4.84
3.921,260.03,-4.92
3.935,260.29,-5.05
3.957,260.69,-5.03
3.976,261.03,-5.05
3.979,261.09,-5.05
4.001,261.49,-5.05
4.023,261.89,-4.82
4.031,262.03,-4.77
4.045,262.29,-4.7
4.067,262.69,-4.78
4.086,263.03,-4.82
4.089,263.09,-4.86
4.111,263.49,-4.77
4.133,263.89,-5.08
4.141,264.03,-5.21
4.155,264.3,-5.44
4.177,264.7,-5.83
4.196,265.03,-6.06
4.222,265.5,-5.99
4.251,266.04,-5.77
4.261,266.46,-5.61
4.276,267.03,-5.35
4.281,267.26,-5.38
4.301,268.03,-5.46
4.301,268.06,-5.47
4.321,268.86,-6
4.326,269.03,-6.05
4.341,269.66,-5.95
4.351,270.03,-5.8
4.361,270.46,-5.53
4.376,271.03,-5.16
4.381,271.26,-5.18
4.401,272.03,-5.39
4.401,272.06,-5.39
4.421,272.86,-5.24
4.426,273.03,-5.27
4.441,273.66,-5.49
4.451,274.03,-5.47
4.461,274.46,-5.47
4.475,275.03,-6.25
4.481,275.26,-6.46
4.5,276.03,-5.92
4.501,276.06,-5.91
4.521,276.86,-6.26
4.525,277.03,-6.31
4.541,277.66,-6.25
4.55,278.03,-6.13
4.561,278.46,-5.97
4.575,279.03,-6.1
4.581,279.26,-6.15
4.6,280.03,-6.27
4.601,280.06,-6.27
4.621,280.86,-5.99
4.625,281.03,-5.97
4.641,281.66,-5.59
4.65,282.03,-5.42
4.661,282.46,-5.43
4.675,283.03,-5.49
4.681,283.26,-5.5
4.7,284.03,-5.53
4.701,284.06,-5.53
4.721,284.86,-5.31
4.725,285.03,-5.35
4.741,285.66,-5.67
4.752,286.1,-5.65
4.761,286.89,-5.47
4.762,287.02,-5.48
4.774,288.02,-5.66
4.781,288.59,-5.93
4.786,289.02,-6.03
4.798,290.02,-5.84
4.801,290.29,-5.84
4.809,291.02,-5.91
4.821,291.99,-5.89
4.821,292.02,-5.9
4.833,293.02,-6.23
4.841,293.69,-5.94
4.845,294.02,-5.94
4.856,295.02,-6.63
4.861,295.4,-6.7
4.868,296.02,-6.59
4.88,297.02,-6.64
4.881,297.1,-6.64
4.892,298.02,-6.36
4.901,298.8,-6.45
4.903,299.02,-6.52
4.915,300.02,-6.39
4.921,300.5,-6.24
4.927,300.98,-6.43
4.94,301.68,-7.02
4.96,302.68,-6.35
4.98,303.68,-6.59
5,304.68,-6.6
5.02,305.68,-6.23
5.04,306.68,-6.39
5.06,307.68,-6.15
5.08,308.68,-5.97
5.1,309.68,-5.74
5.12,310.68,-7.17
5.14,311.68,-6.13
5.16,312.68,-6.37
5.18,313.68,-6.42
5.2,314.68,-6.64
5.22,315.68,-7.74
5.24,316.68,-6.47
5.26,317.68,-6.52
5.28,318.68,-6.16
5.3,319.68,-6.05
5.32,320.68,-7.11
5.34,321.68,-6.44
5.36,322.68,-7.25
5.38,323.68,-6.39
5.4,324.68,-6.24
5.42,325.69,-6.28
5.439,326.68,-6.05
5.458,327.68,-6.18
5.477,328.68,-6.29
5.496,329.68,-5.89
5.515,330.68,-5.88
5.534,331.68,-5.53
5.553,332.68,-5.62
5.571,333.68,-6.9
5.59,334.68,-6.05
5.609,335.68,-7.03
5.628,336.68,-6.72
5.647,337.68,-5.96
5.666,338.68,-6.05
5.685,339.68,-6.37
5.704,340.68,-6.12
5.723,341.68,-6.18
5.742,342.68,-6.27
5.76,343.68,-6.06
5.779,344.68,-5.73
5.798,345.68,-7.2
5.817,346.68,-6.69
5.836,347.68,-6.67
5.855,348.68,-6.53
5.874,349.68,-6.49
5.893,350.68,-6.66
5.912,351.68,-6.17
5.931,352.68,-6.16
5.949,353.68,-6.04
5.968,354.68,-6.79
5.987,355.68,-6.11
6.006,356.68,-5.88
6.025,357.68,-6.41
6.044,358.68,-6.42
6.063,359.68,-6.53
6.101,361.69,-6.26
6.115,362.68,-6.71
6.129,363.68,-6.39
6.143,364.68,-6.44
6.158,365.68,-6.37
6.172,366.68,-6.56
6.186,367.68,-7
6.2,368.68,-6.52
6.215,369.68,-6.12
6.229,370.68,-6.12
6.243,371.68,-6.72
6.257,372.68,-7.32
6.272,373.68,-6.34
6.286,374.68,-6.52
6.3,375.68,-6.36
6.314,376.68,-6.02
6.329,377.68,-6.2
6.342,378.62,-6.42
6.343,378.68,-6.48
6.357,379.68,-6.45
6.36,379.86,-6.45
6.371,380.68,-6.32
6.378,381.11,-6.32
6.386,381.68,-6.39
6.395,382.36,-6.54
6.4,382.68,-6.57
6.413,383.61,-6.5
6.414,383.68,-6.49
6.428,384.68,-6.35
6.431,384.85,-6.33
6.443,385.67,-6.33
6.449,386.01,-6.3
6.461,386.68,-6.21
6.467,386.98,-6.2
6.479,387.68,-6.27
6.484,387.96,-6.36
6.497,388.68,-6.43
6.502,388.94,-6.38
6.516,389.68,-6.28
6.52,389.91,-6.29
6.534,390.68,-6.27
6.538,390.89,-6.19
6.552,391.68,-6.02
6.555,391.86,-6.02
6.57,392.68,-6.21
6.573,392.84,-6.35
6.589,393.68,-6.63
6.591,393.82,-6.57
6.607,394.68,-6.35
6.609,394.79,-6.35
6.625,395.68,-6.5
6.627,395.77,-6.5
6.643,396.68,-6.6
6.644,396.74,-6.6
6.661,397.68,-6.68
6.662,397.72,-6.69
6.68,398.68,-6.64
6.68,398.7,-6.64
6.698,399.68,-6.43
6.715,400.65,-6.26
6.716,400.68,-6.26
6.733,401.62,-6.54
6.734,401.68,-6.56
6.751,402.6,-6.91
6.752,402.68,-6.94
6.769,403.58,-6.9
6.771,403.68,-6.9
6.787,404.55,-6.79
6.789,404.68,-6.76
6.807,405.68,-7.01
6.808,405.74,-7.02
6.825,406.68,-6.97
6.83,406.92,-6.91
6.844,407.68,-6.88
6.851,408.11,-6.92
6.862,408.68,-6.91
6.873,409.29,-6.91
6.88,409.68,-6.97
6.894,410.47,-7.14
6.898,410.68,-7.17
6.916,411.66,-6.94
6.916,411.68,-6.95
6.935,412.68,-7.26
6.938,412.84,-7.16
6.953,413.68,-6.59
6.959,414.03,-6.6
6.971,414.68,-6.73
6.981,415.21,-6.79
6.989,415.68,-6.76
7.002,416.39,-6.97
7.008,416.68,-7.07
7.024,417.58,-6.94
7.026,417.68,-6.91
7.044,418.68,-6.25
7.045,418.76,-6.26
7.062,419.68,-6.7
7.067,419.95,-6.73
7.08,420.69,-6.84
7.088,421.33,-6.94
7.093,421.68,-6.94
7.105,422.68,-7.31
7.11,423.04,-7.28
7.118,423.68,-7.23
7.131,424.68,-7.07
7.132,424.75,-7.1
7.143,425.68,-7.42
7.153,426.46,-7
7.156,426.68,-6.9
7.168,427.68,-7.12
7.175,428.17,-7.04
7.181,428.68,-7.01
7.194,429.68,-6.4
7.196,429.89,-6.5
7.206,430.68,-6.92
7.218,431.6,-6.65
7.219,431.68,-6.63
7.231,432.68,-6.72
7.239,433.31,-7
7.244,433.68,-7.13
7.257,434.68,-6.89
7.261,435.02,-6.76
7.269,435.68,-6.64
7.282,436.68,-6.72
7.283,436.73,-6.75
7.294,437.68,-7.08
7.304,438.45,-7.02
7.307,438.68,-7.01
7.32,439.68,-6.97
7.326,440.16,-7.04
7.332,440.68,-7.15
7.345,441.68,-6.91
7.347,441.87,-6.91
7.357,442.68,-7.02
7.369,443.58,-7.78
7.37,443.68,-7.87
7.383,444.68,-7.68
7.39,445.29,-8.18
7.395,445.68,-8.39
7.408,446.68,-7.42
7.412,447.01,-7.26
7.42,447.68,-6.98
7.433,448.68,-6.86
7.434,448.72,-6.86
7.446,449.68,-6.98
7.455,450.43,-7.14
7.458,450.68,-7.16
7.471,451.68,-7.3
7.477,452.14,-7.29
7.483,452.68,-7.3
7.496,453.68,-7.32
7.498,453.85,-7.3
7.509,454.68,-7.18
7.52,455.56,-6.83
7.521,455.68,-6.79
7.534,456.68,-6.86
7.541,457.28,-7.09
7.546,457.68,-7.21
7.559,458.68,-7.02
7.563,459.03,-7
7.572,459.68,-7.08
7.584,460.68,-7.4
7.585,460.77,-7.42
7.598,461.68,-7.42
7.608,462.4,-7.29
7.611,462.68,-7.24
7.625,463.68,-7.3
7.63,464.03,-7.33
7.638,464.68,-7.47
7.652,465.66,-7.61
7.652,465.68,-7.61
7.665,466.68,-7.63
7.674,467.29,-7.63
7.679,467.68,-7.58
7.692,468.68,-7.58
7.696,468.92,-7.57
7.706,469.68,-7.72
7.718,470.55,-8.06
7.72,470.68,-8.09
7.733,471.68,-7.77
7.74,472.18,-7.58
7.747,472.68,-7.49
7.76,473.68,-7.87
7.762,473.81,-7.87
7.774,474.68,-7.82
7.784,475.44,-7.69
7.787,475.68,-7.64
7.801,476.68,-7.75
7.806,477.07,-7.71
7.814,477.68,-7.72
7.828,478.68,-7.95
7.828,478.7,-7.95
7.841,479.68,-7.57
7.85,480.33,-7.49
7.855,480.68,-7.52
7.868,481.68,-7.98
7.872,481.96,-8.03
7.882,482.68,-8.01
7.894,483.59,-7.55
7.895,483.68,-7.52
7.909,484.68,-7.79
7.916,485.22,-7.85
7.922,485.68,-7.82
7.936,486.68,-7.5
7.938,486.85,-7.49
7.95,487.68,-7.69
7.96,488.48,-7.76
7.963,488.68,-7.74
7.977,489.68,-7.51
7.982,490.11,-7.47
