"depth","age","Alchemilla","Chenopodiaceae","Artemisia","Cichoroideae","Asteroideae","Carduus","Asteraceae","Vernonia","Polygonum","Tribulus","Galium","Brassicaceae","Caryophylaceae","Swertia","Senecio","Erica","Hypericum","Anthospermum","Cerastium","Apiaceae","Podocarpus","Euclea","Hagenia","Juniperus","Myrsine","Rapanea","Rosa","Schefflera","Brucea","Sapotaceae","Iridaceae","Anthyllis","Maytenus","Buxus","Psydrax","Celastraceae","Celtis","Dodonaea","Ekebergia","Ephedra","Ficus","Ilex","Clematis","Myrica","Hypoestes","Ziziphus","Acanthus","Allophylus","Acacia","Combretum","Commiphora","Cussonia","Dobera","Lannea","Macaranga","Olea","Jasminum","Phoenix","Rhus","Securinega","Teclea","Zanthoxylum","Cassia","Capparidaceae","Acalypha","Euphorbia","Euphorbiacea","Phyllantus","Tamarindus","Alchornea","Aloe","Asphodellus","Leguminosae","Rubiaceae","Blepharis","Justicia","Heliotropium","Kohautia","Indigofera","Lamiaceae","Cerealia","Plantago","Planceolata","Poaceae","Rumex","Solanum","Urticaceae","Ricinus","Saussurea","Monoletes","Triletes","Thalictrum","Typha","Cyperaceae","Ranunculus","Callytriche","herb","shrub","tree","hygrophyte","hydrophyte","algae.spores"
0,-0.066,1.24555160142349,5.69395017793594,0.533807829181495,0.177935943060498,2.84697508896797,1.42348754448399,0,0,0.889679715302491,0.355871886120996,0,0.355871886120996,0.355871886120996,0,0,3.73665480427046,0,1.24555160142349,0,0.711743772241993,3.55871886120996,0.177935943060498,7.11743772241993,24.3772241992883,0,0,0,0,0.177935943060498,0,0.889679715302491,0,0,0,0,0,0,1.24555160142349,0,0,0,0,0.177935943060498,0.711743772241993,0,0,0,0,0,0.355871886120996,0.711743772241993,0,0,0,0,0,0.533807829181495,0,0,0,0,0.177935943060498,0.177935943060498,0,0,0.177935943060498,0.355871886120996,0,0,0,0.177935943060498,1.60142348754448,0.711743772241993,0,0,0.355871886120996,0,0.177935943060498,0.177935943060498,0.533807829181495,3.73665480427046,22.5978647686833,3.91459074733096,3.20284697508897,1.95729537366548,0,0,0.177935943060498,0.177935943060498,0.333889816360601,0,0,0,1.0016694490818,0.0834724540901502,0,22.181146025878,34.3807763401109,43.4380776340111,7.69230769230769,92.3076923076923,51.669449081803
1,-0.062,0.927357032457496,1.70015455950541,0.154559505409583,0.154559505409583,3.24574961360124,1.85471406491499,0,0,1.85471406491499,0,0,0.772797527047913,0.309119010819165,0,0.772797527047913,4.32766615146832,0,0.772797527047913,0,1.39103554868624,9.73724884080371,0.154559505409583,5.87326120556414,21.3292117465224,0.154559505409583,0.154559505409583,0.154559505409583,0.309119010819165,0,0,0,0,0.309119010819165,0,0,0.309119010819165,0.154559505409583,0.618238021638331,0.309119010819165,0,0,0,0,0.309119010819165,0.154559505409583,0,0.154559505409583,0,0,0.463678516228748,0,0,0,0,0,0.618238021638331,0.772797527047913,0,0,0.309119010819165,0.309119010819165,0,0.154559505409583,0.154559505409583,0.154559505409583,0,0.309119010819165,0.309119010819165,0.154559505409583,0.309119010819165,0,0,0.154559505409583,0.309119010819165,0.309119010819165,0,0.618238021638331,0.154559505409583,0.463678516228748,0.463678516228748,1.54559505409583,24.1112828438949,2.47295208655332,3.40030911901082,1.85471406491499,0.154559505409583,1.23647604327666,0.154559505409583,0.154559505409583,0.390625,0.09765625,0.390625,0,0.87890625,0.29296875,0.390625,20.5169628432956,34.248788368336,45.2342487883683,35,65,34.375
2,-0.057,1.54277699859748,2.66479663394109,0.420757363253857,0.420757363253857,1.54277699859748,3.50631136044881,0.280504908835905,0.140252454417952,1.82328190743338,0.561009817671809,0.280504908835905,0.420757363253857,0,0,0.280504908835905,4.48807854137447,0.420757363253857,1.40252454417952,0,1.12201963534362,4.62833099579243,0,5.04908835904628,19.0743338008415,0.280504908835905,0,0.280504908835905,0,0,0,0.280504908835905,0.420757363253857,0.280504908835905,0.280504908835905,0.140252454417952,0.140252454417952,0,1.26227208976157,0.280504908835905,0.140252454417952,0,0,0,0.280504908835905,0.140252454417952,0,0,0,0,0.280504908835905,0.561009817671809,0,0,0,0,0.280504908835905,0.420757363253857,0,0.140252454417952,0.140252454417952,0,0.280504908835905,0.140252454417952,0.140252454417952,0,0.280504908835905,0.140252454417952,0.140252454417952,0,0.280504908835905,0.280504908835905,0,0.280504908835905,0.280504908835905,0,0,0.280504908835905,0,0.561009817671809,0,2.80504908835905,31.4165497896213,1.68302945301543,2.10378681626928,1.68302945301543,0.140252454417952,0.841514726507714,0.140252454417952,0,0,0.088339222614841,0.088339222614841,0.088339222614841,0.795053003533569,0.353356890459364,0,18.3553597650514,44.640234948605,37.0044052863436,33.3333333333333,66.6666666666667,35.6007067137809
3,-0.053,0.865800865800866,1.58730158730159,0.577200577200577,0,1.01010101010101,1.58730158730159,0.577200577200577,0.144300144300144,1.73160173160173,0.288600288600289,0.288600288600289,0.577200577200577,0.577200577200577,0.144300144300144,0.144300144300144,2.02020202020202,0,0.865800865800866,0,1.2987012987013,7.35930735930736,0.144300144300144,4.76190476190476,21.5007215007215,0.144300144300144,0.288600288600289,0.144300144300144,0.288600288600289,0,0,0.721500721500722,0.721500721500722,0,0.288600288600289,0.144300144300144,0,0,1.15440115440115,0,0,0,0,0,0.288600288600289,0.144300144300144,0,0.288600288600289,0,0,0,0.577200577200577,0,0,0,0,0.144300144300144,0,0,0,0,0,0.288600288600289,0,0,0.288600288600289,0.144300144300144,0.144300144300144,0.144300144300144,0.144300144300144,0.288600288600289,0.288600288600289,0,0.432900432900433,0.288600288600289,0.144300144300144,0.288600288600289,0.577200577200577,0.721500721500722,0,0.288600288600289,2.45310245310245,32.1789321789322,2.16450216450216,2.45310245310245,1.15440115440115,0.144300144300144,1.15440115440115,0.288600288600289,0.144300144300144,0.552486187845304,0.138121546961326,0,0,1.65745856353591,0,0.552486187845304,19.1458026509573,41.0898379970545,39.7643593519882,0,100,1.38121546961326
4,-0.049,1.40449438202247,2.3876404494382,0.280898876404494,0.421348314606742,3.79213483146067,3.93258426966292,0.702247191011236,0.140449438202247,1.40449438202247,0.561797752808989,0,0,0.702247191011236,0,0.421348314606742,8.14606741573034,0,0.421348314606742,0,0.280898876404494,3.79213483146067,0,5.75842696629214,21.3483146067416,0,0.140449438202247,0.140449438202247,0.140449438202247,0,0,0.421348314606742,0.702247191011236,0.140449438202247,0.280898876404494,0,0.280898876404494,0.140449438202247,0.702247191011236,0.280898876404494,0.140449438202247,0,0,0,0.280898876404494,0.140449438202247,0,0.140449438202247,0,0,0.702247191011236,0.140449438202247,0,0,0,0,0.421348314606742,0.280898876404494,0,0.140449438202247,0,0.280898876404494,0.280898876404494,0.140449438202247,0.280898876404494,0.140449438202247,0.280898876404494,0.280898876404494,0.280898876404494,0.280898876404494,0.140449438202247,0.140449438202247,0,0.702247191011236,0,0,0,0.702247191011236,0,0.421348314606742,0.421348314606742,1.40449438202247,23.5955056179775,3.08988764044944,2.24719101123596,1.26404494382022,0,1.68539325842697,0.280898876404494,0,0.159744408945687,0,0.159744408945687,0.0798722044728434,1.43769968051118,0.0798722044728434,0.0798722044728434,20.9480122324159,37.9204892966361,41.131498470948,13.0434782608696,86.9565217391304,41.1341853035144
5,-0.045,1.74050632911392,1.42405063291139,0.632911392405063,0,1.26582278481013,2.05696202531646,0,0.158227848101266,1.74050632911392,0.474683544303797,0.158227848101266,0.474683544303797,0.316455696202532,0,0,7.12025316455696,0.632911392405063,1.10759493670886,0,1.42405063291139,10.2848101265823,0.158227848101266,6.80379746835443,23.1012658227848,0,0,0.316455696202532,0.316455696202532,0,0,0.158227848101266,0.632911392405063,0.158227848101266,0.158227848101266,0.158227848101266,0,0.316455696202532,1.42405063291139,0,0,0,0,0,0.316455696202532,0.158227848101266,0,0,0,0,0,0.632911392405063,0,0,0,0,0.474683544303797,0.158227848101266,0,0,0.158227848101266,0.316455696202532,0.158227848101266,0.316455696202532,0.316455696202532,0,0.316455696202532,0,0.316455696202532,0.316455696202532,0.316455696202532,0,0,0.632911392405063,0.158227848101266,0.316455696202532,0,0.158227848101266,0.632911392405063,0.316455696202532,0.158227848101266,1.58227848101266,19.1455696202532,3.16455696202532,2.84810126582278,1.74050632911392,0,0.158227848101266,0,0,0.383509108341323,0.0958772770853308,0,0.0958772770853308,1.34228187919463,0.479386385426654,0.191754554170662,19.2504258943782,28.9608177172061,51.7887563884157,22.7272727272727,77.2727272727273,36.816874400767
6,-0.041,0.248447204968944,2.48447204968944,0.62111801242236,0.248447204968944,1.11801242236025,1.36645962732919,0.62111801242236,0,1.24223602484472,0,0.124223602484472,0.62111801242236,0.62111801242236,0.124223602484472,0.496894409937888,9.68944099378882,0.248447204968944,0.62111801242236,0,0.993788819875776,7.20496894409938,0,4.22360248447205,20.3726708074534,0.248447204968944,0.248447204968944,0,0.124223602484472,0,0,0.124223602484472,0.372670807453416,0.124223602484472,0,0.124223602484472,0.124223602484472,0.124223602484472,0.869565217391304,0,0.124223602484472,0,0,0,0,0.248447204968944,0,0.124223602484472,0,0,0.248447204968944,0.124223602484472,0,0,0,0,0.248447204968944,0.496894409937888,0,0,0,0,0.248447204968944,0.124223602484472,0.248447204968944,0,0,0.124223602484472,0,0.248447204968944,0.248447204968944,0,0,0.372670807453416,0,0.248447204968944,0,0.62111801242236,0.62111801242236,0.62111801242236,0.496894409937888,1.98757763975155,28.3229813664596,2.73291925465838,2.11180124223602,1.36645962732919,0.124223602484472,1.61490683229814,0.124223602484472,0,0.237529691211401,0,0.237529691211401,0,1.30641330166271,0.475059382422803,0.356294536817102,20.7702888583219,39.2022008253095,40.0275103163686,30,70,1.78147268408551
7,-0.036,1.04790419161677,1.64670658682635,0.149700598802395,0.149700598802395,2.24550898203593,3.74251497005988,0.29940119760479,0.149700598802395,1.94610778443114,0,0,0.598802395209581,0.29940119760479,0,0.29940119760479,3.59281437125748,0.29940119760479,0.748502994011976,0,1.19760479041916,7.33532934131737,0.149700598802395,5.83832335329341,24.5508982035928,0.149700598802395,0.29940119760479,0.149700598802395,0.29940119760479,0,0,0.449101796407186,0.598802395209581,0.29940119760479,0.29940119760479,0.29940119760479,0.29940119760479,0,1.64670658682635,0,0.149700598802395,0,0,0,0,0,0,0.29940119760479,0,0,0.449101796407186,0.149700598802395,0,0,0,0,1.79640718562874,0.748502994011976,0,0.149700598802395,0,0.149700598802395,0,0,0.149700598802395,0,0.29940119760479,0,0.29940119760479,0.29940119760479,0.29940119760479,0.149700598802395,0,0,0,0,0.149700598802395,0.449101796407186,0.598802395209581,0.449101796407186,0.598802395209581,4.49101796407186,18.7125748502994,2.69461077844311,2.54491017964072,1.19760479041916,0.29940119760479,1.19760479041916,0,0.149700598802395,0.414250207125104,0.0828500414250207,0.331400165700083,0.0828500414250207,0.414250207125104,0.911350455675228,0.165700082850041,18.944099378882,33.8509316770186,47.2049689440994,65.2173913043478,34.7826086956522,42.2535211267606
8,-0.032,0.824175824175824,1.37362637362637,0.274725274725275,0,3.84615384615385,2.74725274725275,0.137362637362637,0,1.37362637362637,0.412087912087912,0,0.274725274725275,0.549450549450549,0.137362637362637,0.137362637362637,6.59340659340659,0.274725274725275,0.961538461538462,0,0,8.1043956043956,0.137362637362637,3.02197802197802,21.4285714285714,0.274725274725275,0,0,0.137362637362637,0,0,0.549450549450549,0.274725274725275,0.137362637362637,0.137362637362637,0.137362637362637,0,0,1.37362637362637,0.274725274725275,0,0,0,0,0.686813186813187,0.137362637362637,0,0,0,0,0,0.412087912087912,0,0,0,0,0.686813186813187,0.274725274725275,0,0.137362637362637,0.137362637362637,0.137362637362637,0.137362637362637,0,0.137362637362637,0.274725274725275,0,0,0.137362637362637,0,0.137362637362637,0,0,0.274725274725275,0,0.137362637362637,0,0.686813186813187,0.274725274725275,0.549450549450549,0.274725274725275,3.43406593406593,26.9230769230769,2.60989010989011,3.02197802197802,1.37362637362637,0.274725274725275,0.549450549450549,0.137362637362637,0.137362637362637,0,0.0875656742556918,0.437828371278459,0,1.0507880910683,1.0507880910683,0.350262697022767,16.4705882352941,42.3529411764706,41.1764705882353,51.5151515151515,48.4848484848485,33.2749562171629
9,-0.028,0.733137829912023,1.61290322580645,0.439882697947214,0.439882697947214,1.61290322580645,2.19941348973607,0.733137829912023,0.146627565982405,1.31964809384164,0.293255131964809,0.146627565982405,0.293255131964809,0,0,0,6.59824046920821,0.586510263929619,0.879765395894428,0,0.439882697947214,5.57184750733138,0.146627565982405,3.51906158357771,19.6480938416422,0.146627565982405,0,0,0.146627565982405,0,0,0.586510263929619,0.733137829912023,0.293255131964809,0.146627565982405,0.293255131964809,0,0,0.733137829912023,0.293255131964809,0,0,0,0,0.439882697947214,0.146627565982405,0,0.146627565982405,0,0,0.293255131964809,0.586510263929619,0,0,0,0,3.2258064516129,0.586510263929619,0,0,0.146627565982405,0.146627565982405,0.146627565982405,0.146627565982405,0,0.146627565982405,0.146627565982405,0.293255131964809,0.293255131964809,0,0,0.293255131964809,0,0.439882697947214,0,0.293255131964809,0.146627565982405,0.293255131964809,0.439882697947214,0,0.146627565982405,1.46627565982405,28.5923753665689,3.37243401759531,2.93255131964809,1.46627565982405,0.146627565982405,2.05278592375367,0.293255131964809,0,0.238379022646007,0,0.357568533969011,0.119189511323004,1.19189511323004,1.43027413587604,0.476758045292014,19.7802197802198,39.7174254317111,40.5023547880691,50,50,14.8986889153754
