SampleId,age,sumCharArea,depth,Density,Mass,sed_rate,CHAR.tram,CHAR.z_scores
TRAM-4U-76-77,7964,172989.1881,653,0.4068,1.5481,0.0152671755725191,694.000197425754,-0.531605572451054
TRAM-4U-77-78,8039,417137.0492,654,0.4405,1.6727,0.0133333333333333,1464.68878796835,-0.276211500093763
TRAM-4U-78-79,8177,256416.5979,656,0.3821,1.5773,0.0144927536231884,900.243050246293,-0.463259936194341
TRAM-4U-79-80,8281,273592.8295,658,0.4912,1.6053,0.0192307692307692,1609.91712369123,-0.228085114758508
TRAM-4U-80-81,8324,287088.4398,659,0.4644,1.6881,0.0232558139534884,1836.71296122268,-0.152928542763511
TRAM-4U-81-82,8403,112872.378,661,0.3765,1.6454,0.0253164556962025,653.858941106237,-0.544907753184989
TRAM-4U-82-83,8494,195072.9142,663,0.404,1.4996,0.021978021978022,1155.02533037088,-0.378829097482064
TRAM-4U-83-84,8540,602394.9741,664,0.4361,1.5766,0.0217391304347826,3622.33049938241,0.438797013238482
TRAM-4U-84-85,8698,193846.0405,666,0.4373,1.5611,0.0126582278481013,687.351044343529,-0.533808997160119
TRAM-4U-85-86,8774,67478.0521,667,0.3369,1.5635,0.0131578947368421,191.316342824718,-0.698187092289606
TRAM-4U-86-87,8894,1218285.559,669,0.3382,1.6296,0.0166666666666667,4213.96023619089,0.634853798904413
TRAM-4U-87-88,8954,99376.7676,671,0.4346,1.5731,0.0333333333333333,915.15994318988,-0.458316712585571
TRAM-4U-88-89,8983,82200.5362,672,0.447,1.5806,0.0344827586206897,801.60828671347,-0.495945944841376
TRAM-4U-89-90,9038,131275.4831,674,0.3958,1.574,0.0363636363636364,1200.38896178769,-0.363796303813358
TRAM-4U-90-91,9102,271139.0819,676,0.3913,1.6066,0.03125,2063.68889945129,-0.0777122882313025
TRAM-4U-91-92,9131,301810.9239,677,0.3411,1.5316,0.0344827586206897,2317.78591111144,0.00649146329434877
TRAM-4U-92-93,9186,190165.4194,679,0.3841,1.4851,0.0363636363636364,1788.49389001145,-0.168907584250621
TRAM-4U-93-94,9256,409775.8073,681,0.32425,1.5424,0.0285714285714286,2461.28122252936,0.0540435516435475
TRAM-4U-94-95,9292,215929.7667,682,0.328666667,1.4406,0.0277777777777778,1368.42898652137,-0.308110483674851
TRAM-4U-95-96,9367,345978.3762,684,0.2995,1.4712,0.0266666666666667,1878.20416298532,-0.139179011350702
TRAM-4U-96-97,9409,257643.4718,685,0.314583333,1.5574,0.0238095238095238,1239.09724517259,-0.350968987762563
TRAM-4U-97-98,9484,301810.9238,687,0.314666667,1.5712,0.0266666666666667,1611.84381290457,-0.227446640269074
TRAM-4U-98-99,9550,1278402.3692,689,0.283333333,1.5394,0.0303030303030303,7130.1688611567,1.60123945157005
TRAM-4U-99-100,9609,137409.8516,690,0.323,1.528,0.0169491525423729,492.31722054752,-0.598440137568735
TRAM-4U-100-101,9747,160720.4513,692,0.335166667,1.535,0.0144927536231884,508.59781882601,-0.593045003469463
TRAM-4U-101-102,9882,267458.4611,694,0.35,1.4735,0.0148148148148148,941.175195214217,-0.449695667406715
TRAM-4U-102-103,9945,839181.5937,695,0.289416667,1.7163,0.0158730158730159,2246.18610037282,-0.0172355873833722
TRAM-4U-103-104,10082,256416.5979,697,0.296833333,1.5988,0.0145985401459854,694.9828556744,-0.531279934969279
TRAM-4U-104-105,10211,186484.7985,699,0.407083333,1.5779,0.0155038759689922,745.911952715226,-0.514402833563666
TRAM-4U-105-106,10283,103057.3887,700,0.442833333,1.5877,0.0138888888888889,399.225704970656,-0.62928920106447
TRAM-4U-106-107,10418,392599.5758,702,0.322,1.5299,0.0148148148148148,1224.1619607924,-0.355918306004041
TRAM-4U-107-108,10485,0,703,0.383833333,1.5194,0.0149253731343284,0,-0.761586317997759
TRAM-4U-108-109,10621,288315.3136,705,0.300769231,1.652,0.0147058823529412,771.937537005019,-0.505778364434612
TRAM-4U-109-110,10774,743485.447,707,0.315166667,1.5163,0.0130718954248366,2020.06889227687,-0.0921672722614745
TRAM-4U-110-111,10843,170535.4407,708,0.278833333,1.4228,0.0144927536231884,484.357903429906,-0.601077730024099
TRAM-4U-111-112,10965,169308.5671,710,0.306083333,1.5253,0.0163934426229508,556.972189544246,-0.577014498169321
TRAM-4U-112-113,11060,197526.6616,712,0.370696558,1.6481,0.0210526315789474,935.334833008355,-0.45163107154543
TRAM-4U-113-114,11106,161947.3251,713,0.183279891,1.3061,0.0217391304347826,494.031153018937,-0.597872167315909
TRAM-4U-114-115,11204,141090.4726,715,0.440025621,1.5703,0.0204081632653061,806.857689002602,-0.494206375520492
TRAM-4U-115-116,11280,24537.4735,717,0.411029891,1.5248,0.0263157894736842,174.063122309749,-0.703904538094136
TRAM-4U-116-117,11316,106738.0097,718,0.441613225,1.5483,0.0277777777777778,845.675125652118,-0.481342887795299
TRAM-4U-117-118,11378,182804.1774,720,0.253446558,1.5428,0.032258064516129,968.726520487497,-0.4405655917228
TRAM-4U-118-119,11401,223291.0088,721,0.361723279,1.5478,0.0434782608695652,2268.84598825693,-0.00972645708496203
TRAM-4U-119-120,11433,228198.5035,723,0.298639946,1.6119,0.0625,2642.42465268165,0.114071634159717
