kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Jasminum,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Planceolata,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Saussurea,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc,volume
8.462,635,0.05,119,0,0,3,0,0,0,1,0,3,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,5,7,2,0,0,0,0,0,1,13,8,0,3,1,1,1,13,0,0,0,0,0,233,2,0,0,0,0,0,14,1,0,0,0,0,0,0,1,4,1,1,0,0,0,2,2,1,1,1,5,0,1,1,4,2,1,1,0,0,47,0,555,5,230,31272,1
8.517,638,0.06,23,0,0,4,0,0,0,0,0,5,0,20,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,11,3,0,0,0,0,0,0,8,6,0,0,3,6,0,12,0,0,0,0,0,392,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,1,0,1,5,0,1,0,1,0,1,0,3,2,60,0,800,2,185,31272,1
8.576,641,0.06,25,0,0,3,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,1,10,2,0,0,0,1,0,2,24,1,0,5,2,4,0,12,0,0,0,0,0,325,14,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,1,0,1,0,1,1,5,1,0,1,2,1,0,1,0,0,0,0,3,3,33,0,506,5,198,31272,1
8.633,644,0.06,37,0,0,5,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,3,0,0,0,0,0,1,12,5,0,5,0,1,0,13,0,0,0,0,0,382,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,4,1,0,1,1,0,1,1,4,0,1,0,4,5,44,1,958,5,185,31272,1
8.73,649,0.06,48,0,0,2,0,0,0,0,0,3,0,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,9,4,0,0,0,1,0,2,24,5,0,4,3,2,1,12,0,0,0,0,0,340,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,5,0,1,1,2,1,1,0,4,0,0,0,0,2,51,0,1679,5,103,31272,1
8.812,653,0.06,103,0,0,5,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,15,3,0,1,0,1,0,0,9,6,0,2,0,5,2,14,0,0,0,0,0,333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,2,0,0,1,0,0,1,1,1,3,64,0,1438,3,125,31272,1
8.866,656,0.05,75,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,8,3,0,0,0,1,0,1,6,5,0,0,4,6,2,12,0,0,0,0,0,426,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,3,1,0,1,4,0,1,0,4,0,1,0,4,2,45,0,1779,0,184,31272,1
8.952,661,0.08,97,0,0,1,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,19,8,0,4,5,2,1,10,0,0,0,0,0,438,11,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,1,2,0,0,0,2,0,0,1,0,1,0,1,0,1,1,1,2,0,64,1,1815,2,160,31272,1
8.993,664,0.07,65,0,0,3,0,0,0,0,0,1,0,20,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,4,0,0,0,1,0,0,12,0,0,4,4,5,1,11,0,0,0,0,0,335,13,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1,2,0,0,2,2,0,1,1,2,1,1,1,5,1,0,1,1,5,63,1,1650,3,170,31272,1
9.021,666,0.07,50,0,0,2,0,0,0,0,0,3,0,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,3,0,0,0,0,0,0,6,3,0,4,5,3,2,10,0,0,0,0,0,472,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,1,0,1,1,4,0,0,0,5,0,0,0,2,2,1,0,4,1,35,1,1604,2,148,31272,1
9.077,670,0.06,73,0,0,1,0,0,0,0,0,3,0,13,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,16,5,0,0,0,0,0,2,23,8,0,3,0,5,1,15,0,0,0,0,0,349,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,1,5,1,1,1,1,0,1,1,3,3,44,1,1291,1,165,31272,1
9.12,673,0.08,36,0,0,2,0,0,0,0,0,3,0,18,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,19,2,0,0,0,0,0,0,7,4,0,0,1,6,1,13,0,0,0,0,0,310,9,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,1,1,1,0,3,0,1,1,5,1,1,1,5,2,1,1,0,5,79,1,1555,4,178,31272,1
9.149,675,0.06,105,0,2,5,0,0,0,0,0,4,0,11,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,5,1,0,0,0,0,0,0,17,5,0,4,1,6,0,11,0,0,0,0,0,341,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,1,1,0,1,1,0,5,0,0,1,2,5,44,0,1429,2,236,31272,1
9.195,678,0.06,33,0,0,2,0,0,0,0,0,2,0,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,4,10,4,0,0,0,0,0,2,21,2,1,5,2,0,1,10,0,0,0,0,0,308,16,0,0,0,0,1,5,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,0,1,0,0,5,0,1,1,5,0,1,0,3,0,44,1,1194,0,112,31272,1
