depth,age,Abies,Pinus,Juniperus,Taxus,Alnus,Acer,Betula,Castanea,Corylus,Fagus,Fraxinus,Juglans,Olea,Evergreen Quercus,Deciduous Quercus,Salix,Tilia,Ulmus,Ilex,Hedera,Buxus,Caprifoliaceae t Sambucus,Caprifoliaceae t Viburnum,Cistaceae t Cistus,Ephedra distachya,Ephedra fragilis,Ericaceae,Ericaceae t Calluna vulgaris,Fabaceae t Cytisus,Lamiaceae t Thymus,Lamiaceae t Rosmarinus,Phillyrea,Rhamnus,Ribes,Rosaceae t. Prunus,Rosaceae,Poaceae,Cerealia type,Alisma,Amaryllidaceae,Apiaceae,Asphodelus,Asteraceae Artemisia,Asteraceae Centaurea,Asteraceae Cichorioideae,Asteraceae Asteroideae,Asteraceae Carduae,Boraginaceae,Boraginaceae t Borago,Boraginaceae t Echium,Brassicaceae,Campanulaceae t Campanula,Campanulaceae,Caprifoliaceae t Centranthus,Caryophyllaceae,Caryophyllaceae tricolpore t Spergularia,Chenopodiaceae,Cistaceae t Helianthemum,Crassulaceae,Crocus,Epilobium,Erodium,Euphrasia/Rhinanthus,Fabaceae t Lathyrus/Vicia,Fabaceae t Lotus,Fabaceae t Trifolium,Fumariaceae t Hypecoum,Gentiana,Geranium,Hypericum,Iridaceae,Lamiaceae tricolpe t Lamium,Lamiaceae t Mentha,Liliaceae,Orobanchaceae,Pinguicula,Plantago,Plantago t media/major,Plumbaginaceae tricolpe t Ceratostigma,Polygonum,Primulaceae t Androsace,Primulaceae t Primula,Ranunculaceae,Ranunculaceae t Aconitum,Ranunculaceae t Delphinium,Ranunculaceae t Thalictrum,Ranunculaceae t Helleborus,Rosaceae t Filipendula,Rosaceae t Potentilla,Rosaceae t Sanguisorba,Rubiaceae,Rubiaceae t Gallium,Rumex,Saxifraga,Scrophulariaceae tricolpore,Scrophulariaceae tricolpe,Scrophulariaceae dicolpe t Pedicularis,Scrophulariaceae t Veronica,Thymeleaceae,Urticaceae,Urtica,Viola,Cyperaceae,Juncaceae,Ranunculaceae t Ranunculus,Sparganium,Typha,Callitriche,Myriophyllum,Nymphaea,Potamogeton,Utricularia,Undetermined
390,863,199.439215408248,437.899146874631,69.3701618811296,0,0,0,30.3494458229942,0,26.0138107054236,342.515174288078,4.3356351175706,0,13.0069053527118,0,169.089769585253,4.3356351175706,4.3356351175706,17.3425404702824,4.3356351175706,0,17.3425404702824,0,0,0,0,0,17.3425404702824,0,0,0,0,0,0,0,4.3356351175706,0,125.733418409547,17.3425404702824,0,0,69.3701618811296,0,21.678175587853,0,65.034526763559,17.3425404702824,0,0,0,0,0,0,0,0,13.0069053527118,0,8.6712702351412,4.3356351175706,0,0,0,13.0069053527118,0,0,0,0,0,0,0,0,0,13.0069053527118,0,8.6712702351412,0,0,130.069053527118,0,0,0,0,8.6712702351412,0,0,0,0,0,0,8.6712702351412,0,0,0,17.3425404702824,0,0,0,0,0,0,0,0,0,60.6988916459884,34.6850809405648,17.3425404702824,0,0,13.0069053527118,13.0069053527118,17.3425404702824,0,0,177.761039820395
395,959,266.830453564925,695.163550077042,84.2622484941869,0,0,0,21.0655621235467,0,21.0655621235467,470.46422075921,0,0,35.1092702059112,49.1529782882757,259.808599523743,7.02185404118224,0,0,0,0,28.087416164729,0,7.02185404118224,0,0,0,42.1311242470934,0,0,0,0,14.0437080823645,0,0,0,7.02185404118224,182.568205070738,0,0,0,14.0437080823645,0,119.371518700098,0,91.2841025353691,21.0655621235467,0,0,0,0,0,0,0,0,7.02185404118224,0,49.1529782882757,14.0437080823645,0,0,0,0,7.02185404118224,0,14.0437080823645,0,0,0,0,0,0,0,0,0,0,0,133.415226782463,0,0,0,0,0,0,0,0,28.087416164729,7.02185404118224,0,0,0,0,7.02185404118224,28.087416164729,7.02185404118224,0,28.087416164729,0,0,0,0,35.1092702059112,0,98.3059565765514,0,7.02185404118224,0,0,0,0,56.1748323294579,0,0,0
398,1020,282.078021978022,789.818461538461,43.8788034188034,0,25.073601953602,0,31.3420024420024,0,37.6104029304029,488.935238095238,0,6.26840048840049,12.536800976801,37.6104029304029,257.00442002442,0,6.26840048840049,0,0,0,12.536800976801,0,6.26840048840049,0,0,0,18.8052014652015,6.26840048840049,0,0,12.536800976801,0,12.536800976801,0,0,0,169.246813186813,31.3420024420024,0,0,12.536800976801,0,106.562808302808,0,12.536800976801,0,0,0,0,6.26840048840049,6.26840048840049,0,0,0,12.536800976801,0,37.6104029304029,0,0,0,0,0,0,0,12.536800976801,18.8052014652015,0,0,0,0,0,6.26840048840049,0,0,0,0,112.831208791209,0,0,0,0,0,0,0,0,12.536800976801,0,0,25.073601953602,0,0,0,18.8052014652015,0,0,56.4156043956044,0,0,0,0,0,0,106.562808302808,18.8052014652015,18.8052014652015,0,0,0,0,50.1472039072039,0,0,87.7576068376068
403,1077,255.733515194063,558.825088757396,142.074175107813,0,9.47161167385418,0,47.3580583692709,9.47161167385418,18.9432233477084,644.069593822084,0,0,75.7728933908334,0,255.733515194063,18.9432233477084,0,18.9432233477084,0,0,18.9432233477084,0,9.47161167385418,0,0,0,47.3580583692709,18.9432233477084,0,0,0,0,0,0,18.9432233477084,0,170.489010129375,37.8864466954167,0,0,75.7728933908334,0,170.489010129375,0,113.65934008625,28.4148350215625,0,0,0,0,28.4148350215625,9.47161167385418,0,0,18.9432233477084,0,56.8296700431251,18.9432233477084,0,9.47161167385418,0,9.47161167385418,9.47161167385418,0,0,9.47161167385418,0,9.47161167385418,0,0,0,18.9432233477084,0,0,0,0,265.205126867917,0,0,0,9.47161167385418,0,0,0,0,56.8296700431251,0,0,9.47161167385418,0,0,0,75.7728933908334,37.8864466954167,28.4148350215625,66.3012817169792,0,0,0,0,28.4148350215625,0,170.489010129375,37.8864466954167,18.9432233477084,37.8864466954167,0,0,0,208.375456824792,0,0,161.017398455521
406,1106,463.370906539075,549.762092503987,125.659906858054,0,70.6836976076555,15.7074883572568,31.4149767145136,0,78.5374417862839,918.888068899521,0,0,7.85374417862839,54.9762092503987,149.221139393939,0,0,0,0,0,47.1224650717703,0,0,0,0,0,47.1224650717703,7.85374417862839,0,0,0,0,0,0,15.7074883572568,0,259.173557894737,70.6836976076555,0,0,54.9762092503987,0,149.221139393939,0,70.6836976076555,39.2687208931419,0,0,0,7.85374417862839,0,7.85374417862839,0,0,0,0,15.7074883572568,0,0,0,0,7.85374417862839,0,7.85374417862839,15.7074883572568,0,0,0,0,0,0,7.85374417862839,0,0,0,0,149.221139393939,15.7074883572568,0,0,0,0,0,0,0,0,0,0,39.2687208931419,0,0,0,23.5612325358852,0,7.85374417862839,62.8299534290271,0,0,0,0,0,0,227.758581180223,62.8299534290271,0,0,0,0,0,70.6836976076555,0,0,70.6836976076555
411,1180,310.943181818182,382.015909090909,44.4204545454545,0,26.6522727272727,0,53.3045454545455,0,44.4204545454545,510.835227272727,0,0,17.7681818181818,22.2102272727273,199.892045454545,4.44204545454545,0,8.88409090909091,0,0,13.3261363636364,13.3261363636364,0,0,0,0,13.3261363636364,4.44204545454545,13.3261363636364,8.88409090909091,0,0,0,0,22.2102272727273,4.44204545454545,164.355681818182,17.7681818181818,0,4.44204545454545,22.2102272727273,0,57.7465909090909,0,31.0943181818182,8.88409090909091,0,0,0,0,0,0,4.44204545454545,0,0,0,13.3261363636364,4.44204545454545,0,0,0,0,8.88409090909091,4.44204545454545,4.44204545454545,4.44204545454545,0,0,0,0,0,13.3261363636364,0,4.44204545454545,8.88409090909091,0,115.493181818182,0,0,0,0,13.3261363636364,0,0,0,4.44204545454545,0,0,26.6522727272727,0,0,0,22.2102272727273,31.0943181818182,13.3261363636364,8.88409090909091,0,0,4.44204545454545,0,8.88409090909091,0,168.797727272727,26.6522727272727,4.44204545454545,22.2102272727273,0,0,0,35.5363636363636,13.3261363636364,4.44204545454545,31.0943181818182
415,1283,240.514539969834,232.220935143288,58.055233785822,0,16.587209653092,0,95.376455505279,0,41.46802413273,311.010180995475,0,0,0,24.880814479638,132.697677224736,0,4.146802413273,16.587209653092,0,0,4.146802413273,0,12.440407239819,0,0,0,4.146802413273,8.293604826546,8.293604826546,24.880814479638,4.146802413273,0,0,0,0,0,149.284886877828,8.293604826546,0,16.587209653092,24.880814479638,0,41.46802413273,0,62.202036199095,16.587209653092,0,0,0,0,0,0,0,0,12.440407239819,0,29.027616892911,8.293604826546,0,0,0,8.293604826546,0,4.146802413273,8.293604826546,4.146802413273,0,0,0,0,0,12.440407239819,0,0,0,0,58.055233785822,0,0,0,0,0,0,0,0,8.293604826546,0,4.146802413273,4.146802413273,0,0,4.146802413273,24.880814479638,0,0,4.146802413273,4.146802413273,0,0,0,0,0,153.431689291101,24.880814479638,0,0,0,0,0,12.440407239819,0,0,82.93604826546
419,1375,216.60683839039,354.44755372973,35.444755372973,0,3.93830615255255,0,27.5681430678679,0,7.87661230510511,196.915307627628,0,0,3.93830615255255,15.7532246102102,114.210878424024,11.8149184576577,3.93830615255255,15.7532246102102,0,0,7.87661230510511,0,0,0,0,3.93830615255255,27.5681430678679,7.87661230510511,0,0,0,0,0,0,0,0,177.223776864865,11.8149184576577,0,0,31.5064492204204,0,27.5681430678679,0,11.8149184576577,3.93830615255255,0,0,0,0,3.93830615255255,3.93830615255255,0,0,0,0,19.6915307627628,0,7.87661230510511,0,0,11.8149184576577,3.93830615255255,0,7.87661230510511,3.93830615255255,0,0,0,0,0,3.93830615255255,0,0,0,0,31.5064492204204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6915307627628,7.87661230510511,0,7.87661230510511,0,0,0,0,3.93830615255255,0,102.395959966366,19.6915307627628,19.6915307627628,0,0,0,7.87661230510511,39.3830615255255,0,0,23.6298369153153
423,1479,332.926024250289,870.046676707423,13.3170409700116,0,17.7560546266821,0,39.9511229100347,0,17.7560546266821,155.365477983468,0,0,4.43901365667053,44.3901365667052,186.438573580162,0,0,0,0,0,0,0,0,0,0,4.43901365667053,8.87802731334105,0,4.43901365667053,4.43901365667053,0,0,0,0,0,0,146.487450670127,8.87802731334105,0,4.43901365667053,31.0730955966937,0,44.3901365667052,0,0,4.43901365667053,4.43901365667053,0,0,0,0,0,0,0,4.43901365667053,0,13.3170409700116,4.43901365667053,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43901365667053,0,0,0,0,4.43901365667053,0,0,0,0,0,0,0,0,4.43901365667053,0,8.87802731334105,4.43901365667053,0,0,0,17.7560546266821,0,0,84.34125947674,0,0,0,0,0,0,66.5852048500579,8.87802731334105,26.6340819400231,0,4.43901365667053,0,62.1461911933873,13.3170409700116,0,0,62.1461911933873
427,1559,358.337634130575,2310.33474636818,122.589190623618,0,0,0,18.8598754805566,0,75.4395019222264,396.057385091688,0,0,0,28.2898132208349,160.308941584731,18.8598754805566,0,18.8598754805566,0,0,9.4299377402783,0,0,0,0,28.2898132208349,47.1496887013915,0,28.2898132208349,9.4299377402783,0,0,0,0,9.4299377402783,18.8598754805566,480.926824754193,0,0,9.4299377402783,47.1496887013915,0,103.729315143061,0,9.4299377402783,28.2898132208349,0,0,0,0,0,0,0,0,0,0,9.4299377402783,0,0,0,0,0,0,0,0,9.4299377402783,9.4299377402783,0,9.4299377402783,0,0,0,0,9.4299377402783,0,9.4299377402783,18.8598754805566,0,0,0,0,0,0,0,0,9.4299377402783,0,0,0,0,0,9.4299377402783,9.4299377402783,0,9.4299377402783,0,0,9.4299377402783,0,0,18.8598754805566,0,179.168817065288,0,0,0,0,9.4299377402783,0,0,18.8598754805566,0,66.0095641819481
