"name","group","element","units","context","S668253","S668254","S668256","S668258","S668255","S668259","S668257","S668260","S668261","S668262","S668263","S668264","S668265","S668266","S668267","S668268","S668269","S668270","S668271","S668273","S668272","S668274","S668275","S668276","S668277","S668278","S668279","S668280","S668281","S668282","S668283","S668284","S668285","S668286","S668287","S668288","S668289","S668296","S668290","S668291","S668292","S668293","S668294","S668295","S668297","S668298","S668299","S668300","S668301","S668302","S668310","S668303","S668304","S668305","S668306","S668307","S668308","S668309","S668311","S668312","S668313","S668314","S668315","S668321","S668316","S668317","S668318","S668319","S668320","S668322","S668323","S668324","S668325","S668331","S668326","S668327","S668328","S668329","S668330","S668332","S668333","S668334","S668335","S668336","S668337","S668338","S668339","S668340","S668341","S668342","S668343","S668344","S668345","S668346","S668347","S668356","S668348","S668349","S668355","S668350","S668351","S668352","S668353","S668354","S668357","S668358","S668359","S668367","S668360","S668361","S668362","S668363","S668364","S668365","S668366","S668368","S668369","S668370","S668371","S668378","S668372","S668373","S668374","S668375","S668376","S668377","S668379","S668380","S668389","S668381","S668382","S668383","S668384","S668385","S668386","S668387","S668388","S668390","S668391","S668392","S668393","S668394","S668401","S668395","S668396","S668397","S668398","S668399","S668400","S668402","S668403","S668404","S668405","S668412","S668406","S668407","S668408","S668409","S668410","S668411","S668413","S668414","S668415","S668422","S668416","S668417","S668418","S668419","S668420","S668421","S668423","S668424","S668425","S668426","S668432","S668433","S668427","S668428","S668431","S668429","S668430","S668434","S668435","S668444","S668436","S668443","S668437","S668438","S668439","S668440","S668441","S668442","S668445","S668446","S668448","S668447","S668449","S668450","S668451","S668452","S668453","S668454","S668455","S668458","S668457","S668456","S668459","S668467","S668466","S668461","S668460","S668462","S668469","S668463","S668464","S668465","S668468","S668470","S668471","S668474","S668472","S668473","S668475","S668480","S668477","S668476","S668479","S668478","S668481","S668482","S668483","S668484","S668485","S668486","S668487","S668488","S668489","S668490","S668491","S668492","S668493","S668494","S668495","S668498","S668496","S668497","S668499","S668502","S668500","S668501","S668503","S668504","S668505","S668506","S668507","S668508","S668509","S668510","S668511","S668513","S668512","S668514","S668515","S668516","S668517","S668518","S668519","S668520","S668522","S668521","S668523","S668524","S668525","S668526","S668527","S668528","S668529","S668530","S668531","S668532","S668534","S668533","S668537","S668535","S668536","S668538","S668539","S668540","S668541","S668542","S668543","S668544","S668547","S668545","S668546","S668548","S668551","S668549","S668550","S668552","S668553"
Alchornea,TRSH,pollen,NISP,,,2,2,2,1,2,2,2,1,,2,,1,1,,2,2,2,,,,,1,2,1,2,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allophylus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,2,1,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe,SUCC,pollen,NISP,,1,,2,2,1,,,1,,2,2,,1,1,1,2,2,2,2,1,,2,1,,,2,1,2,1,1,1,1,2,,2,1,1,,,,1,1,,,,1,1,2,1,1,,2,1,2,,,,2,,1,,1,,2,1,2,2,2,1,2,1,2,1,2,,1,2,,,2,1,,,,,,,,,,2,1,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Amaranthaceae,UPHE,pollen,NISP,,32,11,19,11,17,9,20,11,10,11,16,18,15,10,12,14,16,14,10,15,14,14,12,16,14,18,9,15,19,12,14,19,16,11,6,20,9,15,10,6,7,10,14,19,14,5,3,1,2,,3,3,,3,5,4,6,13,14,9,11,13,8,5,6,4,3,4,2,3,1,7,8,7,6,5,5,7,7,7,5,5,5,5,8,8,5,5,7,4,7,5,5,4,7,5,6,6,7,4,5,4,4,8,4,6,5,5,8,5,4,6,4,5,5,6,8,11,6,8,14,8,3,16,21,5,12,10,10,11,4,1,3,4,,5,1,4,5,,4,1,3,5,5,1,,1,4,1,,1,4,,,4,,2,1,1,4,2,2,2,3,2,5,,5,1,5,,2,,1,3,1,4,4,3,3,5,1,,5,4,3,5,1,3,,5,5,4,2,,4,4,4,3,,4,5,3,3,,1,2,2,5,2,2,4,,4,1,7,19,18,15,1,7,4,13,12,30,17,22,41,44,15,16,45,40,45,35,21,22,27,26,23,37,38,44,24,15,31,17,33,45,23,44,29,37,37,34,33,19,21,34,29,33,27,17,34,25,40,44,28,15,32,43,23,103,105,125,131,134,136,118,136,110,120,106,131,133,99,128,108,144,90,127,101,111,94,108,98,97,125,108,92
Anthospermum,UPHE,pollen,NISP,,7,5,10,6,3,7,5,5,7,6,6,4,9,5,9,11,9,3,7,7,3,3,11,2,6,2,6,2,5,4,10,1,3,1,8,6,9,7,5,3,7,10,3,4,7,9,6,6,5,7,9,3,1,9,7,6,1,,1,3,7,3,9,10,9,,2,6,9,3,10,10,4,8,2,7,10,3,2,6,5,3,6,,7,3,2,9,3,2,,8,8,11,2,10,5,9,,7,12,8,9,2,3,6,9,3,6,9,,,,9,7,,8,3,,,5,8,9,3,4,3,7,3,6,5,7,,2,9,6,9,5,8,,12,23,18,10,11,14,6,7,13,24,9,18,8,15,8,6,25,7,22,15,11,8,23,25,7,6,10,16,25,12,11,5,25,12,18,7,17,14,7,22,9,17,16,9,14,10,8,7,2,5,13,8,24,12,24,9,6,19,12,6,23,7,17,21,17,24,13,12,17,8,15,22,22,19,10,6,2,11,9,9,4,4,3,1,13,3,14,15,9,9,,,,4,13,2,1,,1,1,1,2,2,,1,2,1,1,,2,1,,,,,1,2,2,1,,,2,,1,2,1,1,,2,,1,,,,,1,1,,2,,1,1,2,1,2,2,1,,,2,,1,1,1,,2,2,2,2,1,,
Anthyllis,UPHE,pollen,NISP,,,,3,5,5,4,3,4,2,5,5,5,5,,1,4,,5,,1,2,4,1,2,3,5,5,5,3,1,3,1,1,1,,1,,1,,,,,,,1,,,,1,,1,1,1,1,,,1,1,1,1,,1,,,,,,,1,,1,1,,,,1,1,,1,1,1,1,1,1,,,1,,,,1,,,,1,,,,,,,,,,1,1,,,,1,,1,,1,1,,,1,1,,1,1,1,1,1,1,,,1,,1,,,,1,1,1,1,1,,,1,1,1,,1,1,1,,1,,1,,,,1,1,1,1,,1,1,1,,,1,1,1,,1,,,1,1,,1,1,,1,1,,,1,,,1,,1,,1,,1,,1,,,,1,1,1,1,,1,1,,,1,,,1,,1,,1,1,1,1,1,,,,,1,1,,,1,,1,,1,1,,1,1,1,1,,1,,1,1,1,1,1,,,1,,1,,,1,1,,,1,1,1,1,,,,1,1,1,,,,1,1,,,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,,,1,,,1,1,,1
Apiaceae,UPHE,pollen,NISP,,4,9,8,9,2,9,8,8,,3,7,8,6,2,9,9,2,8,,7,6,8,,7,7,3,2,8,,1,5,3,5,7,2,7,3,3,,2,,3,3,4,4,3,3,8,2,4,5,,3,1,1,7,3,8,3,4,5,5,1,3,5,3,4,3,8,,1,2,8,10,3,3,10,3,1,,8,3,,6,4,9,9,2,5,8,8,2,10,12,,2,,13,1,3,3,10,4,11,9,3,3,1,1,11,12,5,2,6,7,3,9,11,10,2,9,14,2,5,14,8,4,10,14,13,8,3,7,,7,6,6,13,15,4,8,4,13,9,7,1,3,9,6,7,15,6,8,3,,13,9,12,1,11,6,9,10,2,15,6,12,6,5,14,12,7,6,14,8,6,11,2,12,9,2,1,5,11,12,10,1,6,11,14,1,2,4,,,1,2,3,3,4,3,3,5,1,2,3,3,4,4,5,,2,1,1,,1,2,1,3,4,,,,1,3,5,2,5,5,,1,5,2,1,3,2,,2,3,,,2,4,,4,1,4,2,,,1,5,1,,1,2,,2,3,2,3,,4,5,4,4,5,3,1,,5,,4,2,5,2,4,3,2,3,,4,3,2,3,4,5,,3,,4,,2,,5,1,2,3,2,2,2
Artemisia,UPHE,pollen,NISP,,3,1,3,4,2,4,5,1,2,3,1,5,,5,,5,,,4,3,3,1,1,3,2,1,5,1,4,,,,,4,,2,4,2,5,4,,5,3,3,,4,4,,2,4,,2,3,1,1,2,2,2,4,3,1,,1,5,4,5,3,4,1,5,,4,3,3,2,2,5,,3,3,,,2,3,1,,,4,3,5,4,,,1,4,4,,4,3,4,1,4,,2,4,,2,4,2,2,3,24,21,25,15,17,19,21,19,22,22,25,17,2,2,7,,1,6,7,7,5,9,8,5,1,7,5,7,8,9,1,,3,4,7,5,9,12,4,4,1,4,,5,,,5,5,5,,3,,1,4,4,3,1,5,1,1,5,3,,3,1,2,2,4,,5,,3,3,4,,4,2,3,1,3,2,,3,,4,5,4,5,,1,1,2,4,1,5,5,5,4,1,2,1,4,2,3,1,8,8,20,5,10,13,8,9,4,15,19,3,9,14,14,20,18,19,13,4,4,19,,8,4,29,30,27,20,30,26,26,28,34,21,23,33,30,23,25,10,12,12,9,32,8,11,12,5,9,10,7,8,10,11,16,8,9,12,11,8,9,2,3,8,6,1,6,8,19,20,16,5,21,14,11,8,17,18,15,12,,5,17,21
Asphodelus,UPHE,pollen,NISP,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster,UPHE,pollen,NISP,,1,4,5,4,5,4,4,2,5,1,2,,5,,1,3,,3,5,2,1,5,,1,2,2,1,,1,2,2,,1,2,2,,,,2,1,,2,2,,1,,,1,,1,,,1,1,2,,2,,2,,1,,,1,1,1,1,,1,1,,,2,,,,1,1,2,2,1,2,2,1,2,1,1,2,2,,,2,2,1,1,,,1,,,1,,,1,1,1,1,,,1,,2,1,,1,2,2,,2,1,2,,2,1,,,,2,1,1,1,1,2,2,2,,,1,,,2,1,,2,,1,1,1,1,2,2,1,1,,1,1,1,1,,,,,1,1,,,2,,2,,1,2,1,1,1,1,2,2,1,2,2,2,,1,1,,2,1,,1,,,,1,2,2,1,1,2,1,1,,1,2,1,1,1,,,,2,1,2,2,,2,2,1,,,,2,,1,1,,1,2,,,1,1,1,,,1,1,,1,2,,,1,1,2,2,,1,1,,2,2,1,1,2,1,,,,1,2,1,1,,1,,1,1,1,2,1,1,1,2,1,1,,,2,,,1,,1,,2,1,,2,,1,1,,,1,1,2,1,,2,
